Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
10000,2.171671,165.76666666666668,-0.19198346,0.11410606,-3.177076949013604,-3.177076949013604,0.12482319648067157,0.34537017,0.09875941,9.998683e-05,0.09671525,1.342565,1.0
20000,2.03772,58.14666666666667,-0.28596553,0.12104423,2.6717597460135436,2.6717597460135436,0.14178572269753578,0.49421912,0.09777399,9.996374e-05,0.18483242,0.6094672,1.0
30000,1.8767695,52.68695652173913,0.15006323,0.19835438,2.6005380734153416,2.6005380734153416,0.11571097322942123,0.45283997,0.10121778,9.993836e-05,0.17109989,0.594252,1.0
40000,1.7444884,72.19718309859155,-0.124514505,0.21439,0.6286823858677502,0.6286823858677502,0.11528096241797779,0.19070646,0.103011295,9.991324e-05,0.14316574,0.7683322,1.0
50000,1.648011,36.35245901639344,0.33632722,0.21143821,3.165373467519635,3.165373467519635,0.05139552385042437,0.46517748,0.098583944,9.9886754e-05,0.15242323,0.5253213,1.0
60000,1.5683365,66.66666666666667,0.3814264,0.24754812,2.78797777101051,2.78797777101051,0.10531801650257305,0.26599228,0.09981309,9.986211e-05,0.1724462,0.6823987,1.0
70000,1.5795709,30.631067961165048,0.6035029,0.28418982,2.6334189635056715,2.6334189635056715,0.03779667113513614,0.22964664,0.099675134,9.9837824e-05,0.1385244,0.55019236,1.0
80000,1.5569128,52.64912280701754,0.70842534,0.22060889,2.393797596295675,2.393797596295675,0.07322009505393605,0.24927783,0.10032189,9.981157e-05,0.14202616,0.3866041,1.0
90000,1.5387865,38.138728323699425,1.4131021,0.26318118,3.411352262593979,3.411352262593979,0.04413144956992636,0.2501191,0.09545697,9.97874e-05,0.12771696,0.5159423,1.0
100000,1.5446783,31.1,1.6235541,0.29800883,3.2553596133366227,3.2553596133366227,0.03048883828741964,0.3451217,0.097344235,9.976382e-05,0.09888554,0.31595117,1.0
110000,1.7173384,52.028985507246375,0.82201177,0.2350051,0.8107113263745239,0.8107113263745239,0.07595091570587154,0.24620557,0.10320046,9.9736266e-05,0.115360394,0.23511207,1.0
120000,1.7101543,56.6605504587156,-0.10209189,0.21903025,-0.08794383731755344,-0.08794383731755344,0.08046755408021537,0.15043838,0.0998441,9.9712444e-05,0.11154422,0.22707325,1.0
