Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.1717947,73.23529411764706,-0.25206494,1.8239079930565574,1.8239079930565574,0.45955592,0.097360834,9.994542e-05,1.0
20000,2.0616589,35.34782608695652,-0.22137132,2.7561358137333647,2.7561358137333647,0.51517415,0.09872779,9.985629e-05,1.0
30000,1.9279436,28.632653061224488,-0.10324434,3.0496092014706013,3.0496092014706013,0.6193784,0.1010052,9.9752375e-05,1.0
40000,1.8601947,22.32,0.42861682,4.000001542947509,4.000001542947509,1.6902435,0.09772868,9.964686e-05,1.0
50000,1.7980037,20.671641791044777,0.7286368,4.336917744198842,4.336917744198842,1.1223533,0.095845215,9.954494e-05,1.0
60000,1.7632556,20.155913978494624,1.1357211,3.8017127894066474,3.8017127894066474,0.8757334,0.1027601,9.9448116e-05,1.0
70000,1.747185,20.269565217391303,1.2922021,3.101477749419935,3.101477749419935,0.71972823,0.09663063,9.935134e-05,1.0
80000,1.6757787,18.321782178217823,1.7159642,4.0423305539211425,4.0423305539211425,0.7715365,0.09678156,9.92573e-05,1.0
90000,1.8770587,35.977777777777774,0.28481096,0.9588895426856147,0.9588895426856147,0.4234198,0.09753069,9.915902e-05,1.0
100000,1.8578801,85.94736842105263,0.17970619,0.9069485256546422,0.9069485256546422,0.18366571,0.100406304,9.9049954e-05,1.0
110000,1.8272146,56.148148148148145,0.05924539,1.0483803020583258,1.0483803020583258,0.14604509,0.099102736,9.895372e-05,1.0
120000,1.8287306,55.0,-0.11140289,-0.07777986261579725,-0.07777986261579725,0.065486535,0.09545086,9.884784e-05,1.0
130000,1.8151884,116.0,-0.07886045,1.240291452407837,1.240291452407837,0.15461773,0.09894476,9.874276e-05,1.0
140000,1.8060204,80.66666666666667,-0.10094612,2.41128658875823,2.41128658875823,0.1009623,0.098121695,9.864311e-05,1.0
150000,1.7504128,75.97297297297297,0.39514422,3.35047709941864,3.35047709941864,0.24878138,0.09729867,9.853746e-05,1.0
160000,1.709474,69.53125,0.54380786,2.821682308659409,2.821682308659409,0.12737891,0.09533742,9.84498e-05,1.0
170000,1.6957281,95.57692307692308,0.7368529,2.4588410625090966,2.4588410625090966,0.23971185,0.099588156,9.835754e-05,1.0
180000,1.7584041,99.90697674418605,0.7311699,2.133597041285315,2.133597041285315,0.4248455,0.095755264,9.825453e-05,1.0
190000,1.7697719,92.98076923076923,0.76076394,2.205725542627848,2.205725542627848,0.13023327,0.10121123,9.815402e-05,1.0
200000,1.7784661,68.88732394366197,1.0747722,2.262024865184032,2.262024865184032,0.31345108,0.09950594,9.8048964e-05,1.0
210000,1.7822754,83.05,0.39145005,3.0728166354329964,3.0728166354329964,0.094377816,0.097950205,9.794423e-05,1.0
220000,1.7330729,58.45283018867924,0.8094858,2.998905389397233,2.998905389397233,0.36358026,0.100462995,9.7849115e-05,1.0
230000,1.6898897,102.58823529411765,0.3840828,3.392945275587194,3.392945275587194,0.10919984,0.10182032,9.77499e-05,1.0
240000,1.677685,94.75555555555556,0.7581502,3.5038823295723307,3.5038823295723307,0.16071175,0.10117668,9.764463e-05,1.0
250000,1.6279731,71.96774193548387,0.60566556,3.107039526104927,3.107039526104927,0.15688834,0.096951835,9.755268e-05,1.0
260000,1.6216786,71.13636363636364,1.5384423,3.0728308761661705,3.0728308761661705,0.37754983,0.09916753,9.7452765e-05,1.0
270000,1.588383,85.94736842105263,0.9571555,2.2759265851330115,2.2759265851330115,0.20016623,0.09806143,9.734351e-05,1.0
280000,1.5833032,85.5813953488372,0.8200551,1.8017381971532649,1.8017381971532649,0.13339916,0.09101675,9.724811e-05,1.0
290000,1.6284282,64.97368421052632,0.6060552,3.171549455899941,3.171549455899941,0.107917264,0.098553926,9.715853e-05,1.0
300000,1.7074423,68.21212121212122,0.64706737,2.9376710003072564,2.9376710003072564,0.20049936,0.099574134,9.706254e-05,1.0
310000,1.6781442,83.45,0.23717962,4.353930327296257,4.353930327296257,0.06103215,0.09870086,9.695205e-05,1.0
320000,1.6201109,82.58,0.7989892,3.263296831846237,3.263296831846237,0.27452186,0.1002753,9.6849035e-05,1.0
330000,1.6173798,66.0886075949367,1.6105155,4.297433272947239,4.297433272947239,0.26336065,0.097327545,9.67437e-05,1.0
340000,1.607592,88.82352941176471,1.0709189,3.3482170592654836,3.3482170592654836,0.14288214,0.09890376,9.664794e-05,1.0
350000,1.5475128,87.32051282051282,1.6032679,2.7607788894421015,2.7607788894421015,0.2643433,0.09825116,9.654818e-05,1.0
360000,1.5142332,80.19047619047619,1.0609641,2.233433830551803,2.233433830551803,0.16739571,0.1033614,9.6453965e-05,1.0
370000,1.5290662,61.36619718309859,1.2513922,3.312736695081415,3.312736695081415,0.16012609,0.09382586,9.6348245e-05,1.0
380000,1.5047708,67.06349206349206,1.483627,3.554225701188284,3.554225701188284,0.15976621,0.09244612,9.6242795e-05,1.0
390000,1.4990119,59.72727272727273,0.6988921,2.406485478986393,2.406485478986393,0.12059318,0.099039525,9.6155876e-05,1.0
400000,1.4269964,62.273809523809526,1.2697866,2.8912975979702815,2.8912975979702815,0.23537584,0.09776702,9.604765e-05,1.0
410000,1.4391098,60.18390804597701,1.5350134,3.3728905594211884,3.3728905594211884,0.24938484,0.0952176,9.5948424e-05,1.0
420000,1.4377449,60.742574257425744,1.7983348,3.1325511729717253,3.1325511729717253,0.26007217,0.09723407,9.5849144e-05,1.0
430000,1.3637072,60.21917808219178,1.4355032,2.5984369669411636,2.5984369669411636,0.16153139,0.09917851,9.574492e-05,1.0
440000,1.2947516,83.20689655172414,0.79289156,1.9926899712661217,1.9926899712661217,0.12354889,0.10099344,9.564483e-05,1.0
450000,1.4137335,78.11688311688312,1.1601889,3.362025367586236,3.362025367586236,0.22599465,0.09358772,9.5539945e-05,1.0
460000,1.4295789,72.89795918367346,1.5834442,2.961027279800298,2.961027279800298,0.20176844,0.09519225,9.544586e-05,1.0
470000,1.3596042,75.15068493150685,1.6505654,2.8577705541172542,2.8577705541172542,0.1780432,0.09737034,9.534888e-05,1.0
480000,1.3379695,83.16666666666667,1.1225476,2.548481649822659,2.548481649822659,0.16185299,0.100786544,9.524869e-05,1.0
490000,1.392272,91.0,0.7487954,1.425712282927531,1.425712282927531,0.13926035,0.093508385,9.5150324e-05,1.0
500000,1.3339891,119.83333333333333,0.78735864,2.7417121015746018,2.7417121015746018,0.18954863,0.09855845,9.505237e-05,1.0
510000,1.3695382,62.57425742574257,1.9185272,3.943412378722546,3.943412378722546,0.23834343,0.097457305,9.495396e-05,1.0
520000,1.4618305,78.23913043478261,0.9955094,2.8445818709290545,2.8445818709290545,0.14898928,0.09847348,9.4855524e-05,1.0
530000,1.4702884,65.56976744186046,1.6135106,3.325584355481835,3.325584355481835,0.1550375,0.09947369,9.4755495e-05,1.0
540000,1.5268854,78.0,1.178113,2.5508963568457244,2.5508963568457244,0.2367701,0.09289341,9.465124e-05,1.0
550000,1.5963082,115.91666666666667,0.99408704,3.126370580659972,3.126370580659972,0.18625493,0.10240851,9.455652e-05,1.0
560000,1.6391302,79.88659793814433,1.5007641,2.910962352529168,2.910962352529168,0.21790425,0.094791904,9.445206e-05,1.0
570000,1.481429,87.34693877551021,1.1181089,2.1280499505996704,2.1280499505996704,0.18683878,0.093876354,9.434906e-05,1.0
580000,1.4382756,91.64,1.2481196,3.052070616483688,3.052070616483688,0.150872,0.10091181,9.425371e-05,1.0
590000,1.3464133,83.7719298245614,0.9219698,1.5286017520385875,1.5286017520385875,0.17429273,0.10231216,9.415663e-05,1.0
600000,1.3689464,90.6046511627907,0.7771809,1.7004283735918444,1.7004283735918444,0.14056721,0.09544927,9.405406e-05,1.0
610000,1.5061263,99.36666666666666,1.1989251,3.759382779399554,3.759382779399554,0.20809905,0.09397589,9.395611e-05,1.0
620000,1.4014571,76.86792452830188,1.2117836,4.027311862639661,4.027311862639661,0.16029863,0.102728285,9.3847186e-05,1.0
630000,1.4104881,74.3,1.2946647,3.1679334352413813,3.1679334352413813,0.11306563,0.09587811,9.375159e-05,1.0
640000,1.3821033,70.82222222222222,1.6117055,2.736825467495436,2.736825467495436,0.26953053,0.09471694,9.365443e-05,1.0
650000,1.306148,77.80882352941177,1.3469253,2.7104439078008427,2.7104439078008427,0.27638233,0.09694039,9.3554976e-05,1.0
660000,1.438369,77.33333333333333,1.372581,2.31412776377466,2.31412776377466,0.2317863,0.10526653,9.345552e-05,1.0
670000,1.4397256,86.23529411764706,1.4989156,2.9639274258823955,2.9639274258823955,0.12898079,0.10201855,9.3345545e-05,1.0
680000,1.4208372,76.2183908045977,1.5608553,2.6424963982267813,2.6424963982267813,0.19955817,0.09680522,9.324872e-05,1.0
690000,1.3322195,89.0,1.763036,3.397340359972484,3.397340359972484,0.1880695,0.100668825,9.3154296e-05,1.0
700000,1.3361878,67.04878048780488,1.586832,2.977542594254735,2.977542594254735,0.17596114,0.100356214,9.305073e-05,1.0
710000,1.2801322,74.35616438356165,1.5288297,2.8458004553024083,2.8458004553024083,0.2659788,0.09838957,9.295114e-05,1.0
720000,1.252288,86.93181818181819,1.2467679,2.5715190402486106,2.5715190402486106,0.094578825,0.09847818,9.2846916e-05,1.0
730000,1.3205465,84.1896551724138,1.1491076,2.491699704836155,2.491699704836155,0.112266995,0.0988961,9.274307e-05,1.0
740000,1.4045575,66.92592592592592,1.3835344,3.380623029337989,3.380623029337989,0.20353954,0.099047005,9.26417e-05,1.0
750000,1.3103691,79.37777777777778,0.84504145,1.8267659672190635,1.8267659672190635,0.2468514,0.10169499,9.255367e-05,1.0
760000,1.2426265,64.90677966101696,2.05074,3.819470820285506,3.819470820285506,0.31854075,0.10022353,9.245421e-05,1.0
770000,1.2128717,70.9041095890411,1.842694,3.0389272618938135,3.0389272618938135,0.23042674,0.09711384,9.234644e-05,1.0
780000,1.2817575,92.12244897959184,1.2022061,2.8896747718051987,2.8896747718051987,0.11821172,0.10061468,9.2245165e-05,1.0
790000,1.2895423,88.17241379310344,1.0059491,0.9614451815342081,0.9614451815342081,0.2445252,0.10050853,9.214871e-05,1.0
800000,1.3603407,80.27835051546391,1.0882224,2.160294939453403,2.160294939453403,0.1375486,0.10803361,9.204696e-05,1.0
810000,1.3760929,74.88524590163935,1.2594167,2.6123404239044814,2.6123404239044814,0.17182755,0.106311604,9.1945716e-05,1.0
820000,1.3364094,69.63157894736842,1.6656324,2.7159873356944635,2.7159873356944635,0.45605135,0.0988154,9.1845635e-05,1.0
830000,1.2638456,88.34285714285714,1.0532575,2.9977828330463834,2.9977828330463834,0.1544195,0.09724871,9.174637e-05,1.0
840000,1.2489215,103.20833333333333,1.2052084,2.969191783418258,2.969191783418258,0.2129205,0.09692824,9.165374e-05,1.0
850000,1.2130345,97.5925925925926,1.0331244,2.0508501844586067,2.0508501844586067,0.12477642,0.098769814,9.154646e-05,1.0
860000,1.3064817,83.98333333333333,1.0783511,3.1124973307221624,3.1124973307221624,0.20162852,0.094810985,9.144165e-05,1.0
870000,1.2949154,119.88,1.079275,2.042999736391581,2.042999736391581,0.19134156,0.09220978,9.1348134e-05,1.0
880000,1.2300642,101.61016949152543,1.2249511,2.5788415003631076,2.5788415003631076,0.14892995,0.09519895,9.12524e-05,1.0
890000,1.1500462,77.68354430379746,1.5864785,2.4351635009427612,2.4351635009427612,0.21580626,0.09154014,9.115359e-05,1.0
900000,1.0759729,70.17647058823529,1.5615267,3.279549077862785,3.279549077862785,0.16535169,0.104303055,9.106012e-05,1.0
910000,1.0864248,66.83636363636364,1.7162923,3.0303484439849853,3.0303484439849853,0.2938882,0.10184809,9.095849e-05,1.0
920000,1.0065272,72.1980198019802,1.374658,1.2578215476344614,1.2578215476344614,0.26650742,0.094910055,9.0852685e-05,1.0
930000,1.1220287,84.58208955223881,1.4967412,2.9741272579378157,2.9741272579378157,0.13170329,0.096588746,9.074874e-05,1.0
940000,1.057009,91.54385964912281,1.5050447,3.0951404853870996,3.0951404853870996,0.17689568,0.09757863,9.065535e-05,1.0
