Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.169088,69.96774193548387,-0.33429673,2.1124460389537196,2.1124460389537196,0.4376728,0.103775404,9.994439e-05,1.0
20000,2.0498087,45.3,-0.032052394,2.091180142760277,2.091180142760277,0.58375984,0.10098375,9.985294e-05,1.0
30000,1.9096866,22.101796407185628,1.5511832,4.1191218763054485,4.1191218763054485,0.64584166,0.09759541,9.9755685e-05,1.0
40000,1.7953479,19.864077669902912,2.9968219,4.20723715007111,4.20723715007111,0.38809314,0.10278513,9.965184e-05,1.0
50000,1.6711581,18.026506024096385,3.0663488,3.628868093021768,3.628868093021768,0.18378954,0.09864167,9.954894e-05,1.0
60000,1.6463685,18.28978622327791,2.9300458,3.3595792387213024,3.3595792387213024,0.09602767,0.095221855,9.944319e-05,1.0
70000,1.5364321,16.503529411764706,3.2761238,3.8026505770402794,3.8026505770402794,0.038583543,0.11331436,9.934938e-05,1.0
80000,1.2708478,14.97098976109215,3.530367,3.812794149532253,3.812794149532253,0.017494991,0.09992587,9.925518e-05,1.0
90000,1.3785203,15.63912310286678,3.1559377,3.033155980238826,3.033155980238826,0.01872474,0.10005318,9.915312e-05,1.0
100000,1.5661263,26.85,2.076908,1.5079918162027994,1.5079918162027994,1.857002,0.1064986,9.904874e-05,1.0
110000,1.503531,27.751968503937007,3.1210644,3.5776769105843673,3.5776769105843673,0.4657175,0.097797684,9.894464e-05,1.0
120000,1.4525806,30.30314960629921,2.9621677,2.855597442529333,2.855597442529333,0.77353895,0.10046555,9.8847784e-05,1.0
130000,1.6598285,35.06521739130435,2.2817473,2.3426643468238213,2.3426643468238213,0.3293827,0.09964765,9.875289e-05,1.0
140000,1.6250701,32.59615384615385,1.7031186,1.668375718132885,1.668375718132885,0.39112353,0.10458001,9.8647666e-05,1.0
150000,1.7119026,43.572463768115945,1.73152,2.4513510349004166,2.4513510349004166,0.155917,0.09598157,9.854844e-05,1.0
160000,1.6654444,31.180672268907564,0.7049952,-0.18182978409678996,-0.18182978409678996,0.50709486,0.09865816,9.844997e-05,1.0
170000,1.6107154,36.27918781725889,1.6162722,2.0503918766373337,2.0503918766373337,0.27917305,0.096826024,9.83471e-05,1.0
180000,1.5541608,44.609271523178805,1.6789273,2.723688125212987,2.723688125212987,0.19769494,0.09625565,9.8253426e-05,1.0
190000,1.410132,37.66019417475728,2.1686676,2.8501393323384443,2.8501393323384443,0.21452773,0.10035543,9.8146185e-05,1.0
200000,1.3387675,30.326829268292684,2.3327074,3.054790519394921,3.054790519394921,0.4353801,0.09807986,9.805189e-05,1.0
210000,1.4356899,33.282296650717704,2.4070199,3.1659509647976267,3.1659509647976267,0.3340091,0.09619703,9.795455e-05,1.0
220000,1.4195392,29.03191489361702,1.473782,0.9295490776516789,0.9295490776516789,0.6040165,0.1000226,9.785181e-05,1.0
