Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1909409,0.0,-0.10018964,0.052010536,-0.9073332649881415,240.03030303030303,-0.9073334164691694,0.14290648179523874,0.0022431603,0.0996721,0.0002998392,0.091428936,1.42135
20000,2.107654,0.0,-0.24586034,0.08598995,-0.9999332644278184,248.0,-0.9999334216117859,0.3836935504339635,0.00035727728,0.100863576,0.00029957993,0.14807634,1.324456
30000,1.9403219,0.0,-0.3180233,0.19138183,-0.999878718983382,248.0,-0.9999167546629906,1.0568344341591,0.0012416416,0.10817448,0.00029928,0.34359935,1.156298
40000,1.5971704,0.0,-0.3393438,0.46354496,-0.751128141875737,224.3846153846154,-0.7511026400786179,1.3219250815992172,0.009286436,0.09634942,0.00029895263,0.5086492,0.7558792
50000,1.2943537,0.0,-0.18656029,0.655214,-0.13524373640208992,151.7462686567164,-0.13526372366876743,0.5940484124611118,0.018653352,0.0948777,0.00029864986,0.29812926,0.54098034
60000,1.2151939,0.0,0.19286977,0.62961173,0.421926257332222,83.97540983606558,0.4103766779104869,0.17476485340242706,0.027075548,0.095540315,0.0002983653,0.1710082,0.3454616
70000,1.1956242,0.0,0.4772919,0.45844766,0.66968762624097,50.230366492146594,0.6712877143370478,0.07613995721759764,0.02475721,0.09886767,0.0002980514,0.15343855,0.27841857
80000,1.179351,3.0,0.72646147,0.19068779,0.8614113953396133,25.24390243902439,0.8596062145250685,0.03078784927264696,0.017073583,0.094351664,0.00029774144,0.11596519,0.21243575
90000,1.1451122,6.0,0.827137,0.1775512,0.9052437089464473,19.34453781512605,0.9054466190444393,0.02961072664121607,0.010010907,0.09696831,0.00029743285,0.15003288,0.18842167
100000,1.0868884,10.0,0.6800953,0.19091487,0.9153972984011404,18.84593023255814,0.9210416751718798,0.016032012956498493,0.008600881,0.0982233,0.00029715247,0.09554528,0.14577201
110000,1.0394633,11.0,0.52979,0.17692745,0.664880849980783,58.16062176165803,0.6562989646012021,0.08031394222472824,0.013247417,0.09657534,0.00029687077,0.11705053,0.1699096
120000,1.087428,12.0,0.5009962,0.16152059,0.6785441849929973,70.68376068376068,0.6768850560846,0.08275288762123292,0.014911586,0.09787227,0.00029655118,0.10915216,0.17173369
130000,1.0410911,12.0,0.4617891,0.21254294,0.5238820787375936,79.3923076923077,0.5235846129747538,0.09632918326040874,0.014968405,0.09173349,0.00029624195,0.11799343,0.1681704
140000,0.997771,15.0,0.7060297,0.20469618,0.8626224540421155,31.783171521035598,0.862417757027335,0.021533111296291766,0.009288723,0.09899028,0.00029593142,0.06624455,0.11501489
150000,0.98181164,18.0,0.76592666,0.15981928,0.893331328257354,25.736363636363638,0.8934773581265683,0.011966007223192411,0.008157365,0.09455422,0.00029565045,0.049867015,0.081776805
160000,0.8611733,21.0,0.8052751,0.16249184,0.881489975707527,28.737951807228917,0.8815301295863577,0.009858257869393173,0.004385962,0.09564046,0.0002953718,0.031309478,0.038459945
170000,0.8555425,24.0,0.80371046,0.16485283,0.8751125179667725,30.271875,0.8751500124111772,0.007510653899953468,0.0016635517,0.09624902,0.00029506016,0.022939887,0.0282108
180000,0.81263894,28.0,0.81451577,0.17065719,0.8936560214360555,25.658666666666665,0.8935813442866007,0.007590963574747245,0.0013405922,0.099474415,0.000294749,0.023317423,0.03590226
190000,0.80897176,30.0,0.6501584,0.1654564,0.74651057514085,62.5126582278481,0.7459638942578796,0.08589754321843765,0.003081856,0.094163336,0.00029444013,0.117949985,0.16461349
200000,0.70786023,33.0,0.81168246,0.13351122,0.8898481604850127,26.71388888888889,0.8897333400117027,0.004664359058369883,0.0012703615,0.09878137,0.00029412843,0.01484413,0.018141799
210000,0.74497795,36.0,0.780149,0.10229909,0.8609770306241538,33.824137931034485,0.8609465925535674,0.003920341835792082,0.0012089979,0.10067003,0.00029385043,0.010373913,0.009309084
220000,0.68714446,39.0,0.7847628,0.0867605,0.8689889428685373,31.84717607973422,0.8689278885966442,0.0037007539544529357,0.0015400982,0.09804163,0.0002935736,0.0103883445,0.007322781
230000,0.6747574,42.0,0.7584335,0.058971137,0.8437989792271956,38.1556420233463,0.8431837444934319,0.008169187743200253,0.0024714833,0.09756392,0.00029325826,0.015976623,0.012641974
240000,0.69375825,45.0,0.79126734,0.05092513,0.8638632913988273,33.172881355932205,0.8643333506421979,0.0031024333280447844,0.0016160846,0.09529351,0.0002929403,0.008087891,0.011397917
250000,0.69766104,47.0,0.7538037,0.0145658525,0.845552099996894,37.703125,0.8452842473521713,0.0036203172590309218,0.0023173273,0.09992672,0.00029263063,0.0074123787,0.0073568462
260000,0.68522257,50.0,0.780415,-0.0322219,0.8554606252129783,35.20363636363636,0.8560637956491877,0.007005899180473242,0.0019942238,0.10408764,0.00029235097,0.012733645,0.012313399
270000,0.69870484,53.0,0.71208507,-0.022456236,0.841444462826032,38.71825396825397,0.8410717431767528,0.006025333140013866,0.0050540385,0.097442895,0.00029207207,0.019361435,0.024163935
280000,0.60856014,56.0,0.7958359,-0.05376251,0.8714030139729189,31.257234726688104,0.871625945499089,0.0028042588802204256,0.002166462,0.09771724,0.000291761,0.0077444995,0.008775539
290000,0.6230562,58.0,0.74485034,-0.046695076,0.8409403950322374,38.9349593495935,0.8410243252028338,0.005053030149982903,0.003848577,0.094327286,0.00029145184,0.009436721,0.009944653
300000,0.62517816,59.0,0.6787112,-0.048020173,0.7681783185608491,57.01744186046512,0.7682713400139365,0.021368004698414614,0.00515374,0.0967143,0.00029113586,0.027493527,0.04932707
310000,0.661007,59.0,0.66795295,-0.089017875,0.7933642826542335,50.75773195876289,0.7933505506245131,0.0040174815752759534,0.0033484146,0.1016381,0.00029082736,0.008176537,0.011759065
320000,0.68772185,59.0,0.7006879,-0.07261086,0.8036699704963512,48.14778325123153,0.8036502890398937,0.002929284636463438,0.0022565518,0.098566875,0.00029055012,0.0059324373,0.0034111133
