Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1881607,0.0,-0.8378249338071327,238.75,-0.092998326,0.043771595,-0.833666748725451,0.16739627819221753,0.0036370023,0.09074442,0.00029981605,0.09658011,1.4476001
20000,2.109675,0.0,-0.9997575068634681,248.0,-0.22415915,0.096256934,-0.9997647939359441,0.6356859630083337,0.0014263594,0.09806018,0.0002995344,0.24077621,1.2746886
30000,1.9634308,0.0,-0.9998383149363552,248.0,-0.3085765,0.25323898,-0.9998384723157594,0.9972350398699442,0.002248955,0.096523374,0.0002992513,0.38488334,1.1023964
40000,1.5692247,0.0,-0.332163877926431,187.9344262295082,-0.29346183,0.5621125,-0.321077831586202,1.1204765657351041,0.016522076,0.10732172,0.00029896075,0.4867278,0.8635708
50000,1.3156116,0.0,-0.2725555071995283,166.63333333333333,-0.12147366,0.66355026,-0.2725333814819654,0.6227593379716079,0.01348575,0.094940834,0.0002986415,0.29747912,0.5309275
60000,1.3247406,0.0,0.22142860752159768,106.6938775510204,0.04718882,0.5371577,0.22141494130601688,0.25858133941014505,0.018995913,0.09662627,0.0002983286,0.19612178,0.40655336
70000,1.2549783,0.0,0.6624777386348475,55.294117647058826,0.45443135,0.3985095,0.6624919702025021,0.09727116486675201,0.024144461,0.09686959,0.00029804755,0.1611363,0.31943884
80000,1.1767437,1.0,0.820647140117041,34.44137931034483,0.623543,0.34906927,0.8135236441882836,0.04664748120782285,0.020098243,0.10182609,0.00029777052,0.13873242,0.19261654
90000,1.0459228,8.0,0.9381006885081652,14.644757433489827,0.88108873,0.30140293,0.9381027729112031,0.013083712903983856,0.0036575024,0.097472884,0.00029746402,0.077076904,0.109727025
100000,0.93536156,12.0,0.9163686200094325,20.023809523809526,0.8396515,0.2760002,0.9164877237457978,0.015854542310300625,0.003028707,0.09629937,0.00029715814,0.09161083,0.10239885
110000,0.9422376,12.0,-0.17318176242776892,191.61818181818182,0.15537448,0.35241807,-0.1846914208597607,0.4127201492449752,0.010625027,0.09496132,0.00029684466,0.16747616,0.24797133
120000,0.9578055,12.0,0.3318667099904269,135.58666666666667,0.27974525,0.31141794,0.33339909464120865,0.1786910841198589,0.010697068,0.098172426,0.00029653063,0.1277958,0.23963323
130000,0.826307,12.0,0.4422490307556308,117.18072289156626,0.3046369,0.24568735,0.44224896739764386,0.1341327391449132,0.012006425,0.094391845,0.00029625272,0.10953838,0.2135896
140000,0.74668485,12.0,0.5732619343200765,87.77678571428571,0.4056374,0.14889199,0.5730540384580424,0.10693845235918825,0.01227753,0.09288209,0.00029596998,0.12128258,0.18471
