Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.174572,48.65625,-0.40983188,-5.886735767126083,-5.886735767126083,1.8398744,0.10030125,9.993564e-05,1.0
20000,2.0411322,40.0,-1.505881,-2.952113707860311,-2.952113707860311,0.55036294,0.0960429,9.9843106e-05,1.0
30000,1.9034154,41.05128205128205,-2.4102743,-2.765374305920723,-2.765374305920723,0.2890283,0.103436865,9.974356e-05,1.0
40000,1.8094764,56.142857142857146,-2.892781,-2.7569841963904245,-2.7569841963904245,0.6576608,0.099671386,9.965216e-05,1.0
50000,1.7355328,49.42857142857143,-3.2295198,-2.738591404897826,-2.738591404897826,0.8483264,0.09822147,9.9554876e-05,1.0
60000,1.6405632,49.27272727272727,-3.278997,-2.272766306183555,-2.272766306183555,0.7599768,0.09917439,9.945138e-05,1.0
70000,1.5083244,64.92857142857143,-3.126424,-2.9446006949458803,-2.9446006949458803,0.8921213,0.101221174,9.934559e-05,1.0
80000,1.3406501,56.25806451612903,-2.8196666,-2.990665208120815,-2.990665208120815,0.71667063,0.09601836,9.924676e-05,1.0
90000,1.2829435,59.86046511627907,-2.410471,-2.2382403991439124,-2.2382403991439124,1.0818156,0.09891208,9.91468e-05,1.0
100000,1.2550544,66.65573770491804,-2.090287,-3.304057924473872,-3.304057924473872,0.86676675,0.09809288,9.904818e-05,1.0
110000,1.1765541,64.05084745762711,-1.9995183,-2.2364377996017195,-2.2364377996017195,0.9952388,0.099162005,9.8945566e-05,1.0
120000,1.1740941,55.13636363636363,-2.0173154,-2.4045605570522706,-2.4045605570522706,1.2457399,0.101723894,9.885378e-05,1.0
130000,1.1196451,53.54545454545455,-2.2990997,-2.843825469233773,-2.843825469233773,0.7780369,0.09472452,9.8754266e-05,1.0
140000,1.1514294,50.67213114754098,-2.0692167,-2.19520944845481,-2.19520944845481,1.0212055,0.09817855,9.864681e-05,1.0
150000,1.1105602,56.68,-1.9952809,-2.6008402608536385,-2.6008402608536385,0.91275895,0.0977957,9.8546836e-05,1.0
160000,1.1118671,52.028985507246375,-2.0208828,-2.109915525998388,-2.109915525998388,0.8776019,0.101820886,9.844692e-05,1.0
170000,1.1130323,62.39655172413793,-1.9933444,-2.9123481378473084,-2.9123481378473084,0.92342246,0.10148661,9.8350465e-05,1.0
180000,1.1767046,57.53333333333333,-1.935556,-2.387346687912941,-2.387346687912941,0.78732854,0.097706534,9.825126e-05,1.0
190000,1.1461902,46.11578947368421,-2.1424663,-2.1414663992430034,-2.1414663992430034,0.9900445,0.09582605,9.815074e-05,1.0
200000,1.1286219,63.529411764705884,-1.7341133,-2.607166674791598,-2.607166674791598,1.1171058,0.10017552,9.805211e-05,1.0
