Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.1960201,0.0,-0.031175409,0.09351528,0.10156869,9.9956116e-05,248.0,0.2767805438488722,0.2767805438488722,1.0
20000,2.1834912,0.0,-0.065470114,0.09255625,0.10484802,9.986208e-05,248.0,0.16720495596528054,0.16720495596528054,1.0
30000,2.0994933,0.0,0.24243164,0.3296622,0.10386254,9.976195e-05,248.0,3.0321174850687385,3.0321174850687385,1.0
40000,1.9481931,0.0,0.9890424,0.8055657,0.103631034,9.965683e-05,248.0,10.31459831747603,10.31459831747603,1.0
50000,1.7966545,0.0,1.76773,0.95106566,0.10044809,9.954953e-05,248.0,14.384236649042222,14.384236649042222,1.0
60000,1.7060382,0.0,2.2821388,1.0539563,0.10187956,9.944944e-05,248.0,13.662140031444265,13.662140031444265,1.0
70000,1.5768334,0.0,3.208344,0.9873322,0.103174835,9.935208e-05,248.0,17.408196580229383,17.408196580229383,1.0
80000,1.4569753,0.0,4.0506253,1.3660094,0.10729258,9.924695e-05,248.0,18.40037152553216,18.40037152553216,1.0
90000,1.3781673,0.0,4.7224245,1.0293128,0.100102134,9.91496e-05,248.0,19.881256145238876,19.881256145238876,1.0
100000,1.3218285,0.0,5.310159,1.0256773,0.10600974,9.9049525e-05,248.0,19.05008399412036,19.05008399412036,1.0
110000,1.2702924,0.0,5.930673,1.1005725,0.096033074,9.894944e-05,248.0,22.06046896954862,22.06046896954862,1.0
120000,1.2695591,0.0,6.211103,0.9788578,0.09781025,9.885195e-05,248.0,19.474399224305763,19.474399224305763,1.0
130000,1.2235675,0.0,6.505189,0.9697855,0.09748596,9.874619e-05,248.0,20.827792236717737,20.827792236717737,1.0
140000,1.1494982,0.0,6.758316,0.8495269,0.103859335,9.864959e-05,248.0,20.226849753887226,20.226849753887226,1.0
150000,1.1565353,0.0,6.821158,1.002537,0.100183845,9.8559365e-05,248.0,21.012440581147263,21.012440581147263,1.0
160000,1.1539347,0.0,6.893405,0.8703184,0.10103483,9.845439e-05,248.0,21.528056370142178,21.528056370142178,1.0
170000,1.1791987,0.0,7.3385477,1.0913769,0.102312826,9.835285e-05,248.0,21.395579960942268,21.395579960942268,1.0
180000,1.177688,0.0,7.4768233,0.9575751,0.09736972,9.825952e-05,248.0,22.4715378228575,22.4715378228575,1.0
190000,1.1871425,0.0,7.4440184,0.9166786,0.09576041,9.8159515e-05,248.0,20.710159144674737,20.710159144674737,1.0
200000,1.1215411,0.0,7.8706217,0.9156662,0.09818157,9.806709e-05,248.0,22.269517558993716,22.269517558993716,1.0
210000,1.0905365,0.0,8.108651,0.8572415,0.0957147,9.7961965e-05,248.0,21.76020748820156,21.76020748820156,1.0
220000,1.1190509,0.0,7.9930067,0.90133196,0.09628977,9.785428e-05,248.0,21.33670172158708,21.33670172158708,1.0
230000,1.1248711,0.0,7.9948454,0.8502328,0.108899646,9.775285e-05,248.0,20.400947227329016,20.400947227329016,1.0
240000,1.1091574,0.0,7.920185,0.849341,0.099394634,9.765952e-05,248.0,21.341975959638756,21.341975959638756,1.0
250000,1.0700082,0.0,8.254705,0.7374519,0.106196806,9.755208e-05,248.0,21.58153583064224,21.58153583064224,1.0
260000,1.0409495,0.0,8.326375,0.90205306,0.103031375,9.744944e-05,248.0,22.310366243124008,22.310366243124008,1.0
