Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.158669,56.0,-0.30474663,-1.3563050439483242,-1.3563050439483242,0.123773746,0.09763925,9.993483e-05,1.0
20000,2.0104473,53.5,-0.5480632,-0.8754512414787755,-0.8754512414787755,0.062055875,0.09819615,9.985375e-05,1.0
30000,1.9346732,42.768115942028984,-0.63277936,-0.7070317969602697,-0.7070317969602697,0.057730783,0.100966014,9.975054e-05,1.0
40000,1.8301053,51.872727272727275,-0.49684525,-0.47427783662622625,-0.47427783662622625,0.08249267,0.11019448,9.964684e-05,1.0
50000,1.8572748,52.81578947368421,-0.5525159,-0.8418425263522508,-0.8418425263522508,0.055399764,0.10231578,9.955608e-05,1.0
60000,1.7518873,37.56896551724138,-0.45115602,-0.7619498988677715,-0.7619498988677715,0.100248374,0.09914426,9.9445635e-05,1.0
70000,1.7832536,47.666666666666664,-0.39458168,-0.7432614091564628,-0.7432614091564628,0.08815875,0.09338659,9.934382e-05,1.0
80000,1.7774805,52.39393939393939,-0.12733804,0.027049416845495052,0.027049416845495052,0.09696135,0.0950643,9.924381e-05,1.0
90000,1.7274628,60.333333333333336,0.00080283167,0.3883110455104283,0.3883110455104283,0.11033088,0.10049217,9.914741e-05,1.0
100000,1.690644,45.25352112676056,-0.3360472,-0.8451139423209177,-0.8451139423209177,0.14096114,0.09723897,9.905191e-05,1.0
110000,1.6494094,51.76190476190476,-0.097789,-0.19615621101565478,-0.19615621101565478,0.11483822,0.103290215,9.895484e-05,1.0
120000,1.6146576,78.3,0.2967098,0.7961932993402668,0.7961932993402668,0.1293268,0.10164185,9.885662e-05,1.0
130000,1.638227,69.625,0.44443664,1.2079804310431848,1.2079804310431848,0.1132107,0.09692106,9.8753546e-05,1.0
140000,1.6366636,71.85714285714286,0.63162893,0.5823748003352772,0.5823748003352772,0.14677325,0.09564863,9.8648205e-05,1.0
150000,1.5733854,74.72222222222223,0.7113395,1.737897857597896,1.737897857597896,0.10378195,0.097655885,9.854506e-05,1.0
160000,1.4820609,59.140625,0.73120284,1.0923133515752852,1.0923133515752852,0.113982856,0.09655515,9.844538e-05,1.0
170000,1.3738481,63.52173913043478,0.99590784,1.780606842559317,1.780606842559317,0.20282057,0.10413035,9.834351e-05,1.0
180000,1.5258543,51.525252525252526,1.3220135,1.8390408387087813,1.8390408387087813,0.16803026,0.09032085,9.8242694e-05,1.0
190000,1.5027299,58.76923076923077,1.4440626,1.9612957419089552,1.9612957419089552,0.3369678,0.09744633,9.815298e-05,1.0
200000,1.515879,51.77777777777778,1.1922626,1.3503047284625826,1.3503047284625826,0.24467346,0.0991112,9.805725e-05,1.0
210000,1.5093654,51.34285714285714,0.82100886,1.1957848037498584,1.1957848037498584,0.16405103,0.10242121,9.7956174e-05,1.0
220000,1.4571697,53.48913043478261,1.0565065,1.2641492812864241,1.2641492812864241,0.15515447,0.10292784,9.785812e-05,1.0
230000,1.3192934,44.717948717948715,1.1143206,1.7716240406810464,1.7716240406810464,0.24346933,0.09906718,9.774929e-05,1.0
240000,1.4325349,59.44155844155844,1.1913638,1.1295740105114973,1.1295740105114973,0.44648397,0.09559024,9.764756e-05,1.0
250000,1.3456799,46.1747572815534,1.4513743,1.949257876109151,1.949257876109151,0.19401827,0.09433406,9.7546304e-05,1.0
260000,1.3446352,38.611111111111114,1.4158225,1.85352492168409,1.85352492168409,0.1041713,0.1029947,9.7449476e-05,1.0
270000,1.278911,47.378151260504204,1.5280184,1.8869995019015144,1.8869995019015144,0.09456781,0.096629575,9.7348864e-05,1.0
280000,1.3888698,59.03658536585366,1.3380291,1.5801354762984485,1.5801354762984485,0.28181028,0.09810639,9.7243406e-05,1.0
290000,1.2714185,56.046875,1.4804448,1.624201733386144,1.624201733386144,0.26552472,0.09480881,9.7140735e-05,1.0
300000,1.3841271,56.729729729729726,1.3748676,1.6578755877234719,1.6578755877234719,0.13518089,0.09873386,9.704501e-05,1.0
310000,1.4417744,49.46511627906977,1.1550834,1.44393219966297,1.44393219966297,0.13987361,0.10003516,9.694419e-05,1.0
320000,1.3266443,42.137614678899084,1.4802797,1.9799818573174652,1.9799818573174652,0.1092623,0.09758127,9.685267e-05,1.0
330000,1.3507048,46.01639344262295,1.6127253,1.7869365854961117,1.7869365854961117,0.4071432,0.09682368,9.675354e-05,1.0
340000,1.2104317,44.77205882352941,1.4992223,1.6084792492163442,1.6084792492163442,0.18022612,0.103506856,9.664248e-05,1.0
350000,1.3153769,53.73913043478261,1.3390714,1.4960896776002996,1.4960896776002996,0.36287057,0.09750393,9.655025e-05,1.0
360000,1.2769226,50.87735849056604,1.5636679,1.5608184426744407,1.5608184426744407,0.4288193,0.09112852,9.646089e-05,1.0
370000,1.3056114,50.90163934426229,1.407666,1.5058394207442103,1.5058394207442103,0.13306615,0.099763356,9.635693e-05,1.0
380000,1.402914,62.10666666666667,1.020285,1.118038306236267,1.118038306236267,0.16842094,0.097515166,9.625046e-05,1.0
390000,1.321281,65.88888888888889,1.3832198,1.84539026386208,1.84539026386208,0.20384413,0.097159036,9.615155e-05,1.0
400000,1.37437,63.911764705882355,1.0208918,1.183732309203217,1.183732309203217,0.18210414,0.106970936,9.605823e-05,1.0
410000,1.3389531,48.81818181818182,1.2433088,1.5530789015176414,1.5530789015176414,0.14367494,0.096236,9.595746e-05,1.0
420000,1.3546573,49.59090909090909,1.4231231,1.3260257151148735,1.3260257151148735,0.29224256,0.09797331,9.584999e-05,1.0
430000,1.3541318,62.170212765957444,1.3509696,1.56403025075009,1.56403025075009,0.17775302,0.09723576,9.574901e-05,1.0
440000,1.3366302,58.56730769230769,0.9161641,1.2228670693360841,1.2228670693360841,0.2951115,0.0976012,9.564824e-05,1.0
