Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.1767366,93.66666666666667,-0.40914735,-8.002283518130962,-8.002283518130962,1.3843553,0.1045659,9.972615e-05,1.0
20000,2.041334,249.64705882352942,-1.5004805,-16.899436242440167,-16.899436242440167,0.40514144,0.10399358,9.9241406e-05,1.0
30000,1.8884989,264.3703703703704,-2.5268366,-16.184428259178443,-16.184428259178443,0.2917394,0.09550568,9.871963e-05,1.0
40000,1.7773424,351.3414634146341,-3.279781,-20.75660860836506,-20.75660860836506,0.20785521,0.09871076,9.8246484e-05,1.0
50000,1.6610765,308.875,-3.5482376,-16.56184800078229,-16.56184800078229,0.5261321,0.100577876,9.777696e-05,1.0
60000,1.6475128,219.25581395348837,-3.6835566,-10.723558767920448,-10.723558767920448,0.52532256,0.09480463,9.72596e-05,1.0
70000,1.6083187,164.69767441860466,-3.4863162,-8.138596116110335,-8.138596116110335,0.49455214,0.09927914,9.673463e-05,1.0
80000,1.5299273,198.3404255319149,-3.2388997,-8.838329366097847,-8.838329366097847,0.5216501,0.09496653,9.626019e-05,1.0
90000,1.4749653,247.7843137254902,-3.1641812,-11.161043559803682,-11.161043559803682,0.58184993,0.09771877,9.578211e-05,1.0
100000,1.3939463,236.0,-2.9595158,-9.048219148502794,-9.048219148502794,0.6523322,0.09591304,9.525688e-05,1.0
110000,1.3149587,100.84782608695652,-2.831824,-3.957055550554524,-3.957055550554524,0.4485236,0.10090496,9.473384e-05,1.0
120000,1.2496277,171.55263157894737,-2.8172379,-6.617058258307607,-6.617058258307607,0.4872984,0.10192677,9.4211326e-05,1.0
130000,1.2196926,232.9375,-2.76473,-10.39278057217598,-10.39278057217598,0.6768671,0.102070644,9.3742005e-05,1.0
140000,1.1291151,275.6857142857143,-2.673577,-10.611656939983368,-10.611656939983368,0.60055363,0.09849356,9.32756e-05,1.0
150000,0.95798963,117.0,-2.8579528,-4.104461489939222,-4.104461489939222,0.71976507,0.09372826,9.27589e-05,1.0
160000,0.9241027,124.4054054054054,-2.852241,-2.808000430867479,-2.808000430867479,0.6360425,0.09783103,9.223055e-05,1.0
170000,0.94835097,131.3,-2.7423067,-2.842887256542842,-2.842887256542842,0.5960768,0.09979129,9.175964e-05,1.0
180000,1.0277665,200.3695652173913,-2.5641646,-7.0152381606723955,-7.0152381606723955,0.7406527,0.09901992,9.1292226e-05,1.0
190000,0.9764435,130.16666666666666,-2.7254434,-2.440117633342743,-2.440117633342743,0.67446357,0.10006895,9.077768e-05,1.0
200000,1.01356,209.0,-2.9919255,-6.762717850208283,-6.762717850208283,0.542648,0.10238931,9.024743e-05,1.0
210000,0.9253013,324.35,-3.0434911,-10.562810730934142,-10.562810730934142,0.55018455,0.09107323,8.970806e-05,1.0
220000,0.7668476,134.66666666666666,-2.7542965,-2.8941181302070618,-2.8941181302070618,0.5437212,0.09667782,8.9242036e-05,1.0
230000,0.6421791,143.8421052631579,-2.953383,-4.203382295370102,-4.203382295370102,0.5292185,0.09642481,8.8768385e-05,1.0
240000,0.6265183,247.1764705882353,-3.0675597,-7.028640361393199,-7.028640361393199,0.47422093,0.097222164,8.824481e-05,1.0
250000,0.5763352,256.37931034482756,-3.062517,-11.791949387254386,-11.791949387254386,0.6599083,0.09712078,8.7719025e-05,1.0
260000,0.45232633,81.38461538461539,-3.1427705,0.036816954612731934,0.036816954612731934,0.5537269,0.0961753,8.7255896e-05,1.0
270000,0.47160697,140.38095238095238,-3.233478,-1.4206471025943757,-1.4206471025943757,0.44301492,0.10293178,8.678879e-05,1.0
280000,0.44905502,206.76923076923077,-3.0903022,-1.1317367383411951,-1.1317367383411951,0.42109495,0.095496014,8.627062e-05,1.0
290000,0.4297666,145.78571428571428,-3.183939,0.5536354950496128,0.5536354950496128,0.42442423,0.10428939,8.5746695e-05,1.0
300000,0.4705602,254.47058823529412,-3.0591166,-5.675570039188161,-5.675570039188161,0.51411545,0.101427674,8.522031e-05,1.0
310000,0.47426838,133.0,-3.1928275,1.6848982231957572,1.6848982231957572,0.44223183,0.09499388,8.4742554e-05,1.0
320000,0.4892728,239.21052631578948,-3.2451632,-6.609377961409719,-6.609377961409719,0.54903334,0.09991641,8.4268526e-05,1.0
330000,0.43106025,104.66666666666667,-3.2249355,-0.24131943498338973,-0.24131943498338973,0.4276608,0.09835027,8.37455e-05,1.0
340000,0.49005407,148.33333333333334,-3.3103502,-0.27593422929445904,-0.27593422929445904,0.3967718,0.09609474,8.322681e-05,1.0
350000,0.5360717,153.6,-3.3496413,0.3264865080515544,0.3264865080515544,0.48448163,0.10077229,8.275981e-05,1.0
360000,0.64542246,710.3333333333334,-3.423131,-48.94591410160065,-48.94591410160065,0.3849209,0.09722109,8.2292114e-05,1.0
