Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.1746945,0.0,-0.35519892,0.53869367,0.09847654,9.991222e-05,248.0,-7.553846967406571,-7.553846967406571,1.0
20000,2.0785165,0.0,-0.88154066,0.22921252,0.107162066,9.972416e-05,248.0,-2.685293860733509,-2.685293860733509,1.0
30000,1.9834926,0.0,-0.7133112,0.38472146,0.10203158,9.952392e-05,248.0,2.926094489172101,2.926094489172101,1.0
40000,1.8540785,0.0,-0.30683184,0.5977726,0.10328091,9.9313685e-05,248.0,5.63291558306268,5.63291558306268,1.0
50000,1.736581,0.0,1.1141818,1.0634427,0.09713826,9.911904e-05,248.0,12.321981149911881,12.321981149911881,1.0
60000,1.5656615,0.0,2.3920262,1.7103791,0.09874767,9.891904e-05,248.0,21.627625110248726,21.627625110248726,1.0
70000,1.4003048,0.0,3.4682662,1.9535979,0.10027116,9.870416e-05,248.0,26.34587561000477,26.34587561000477,1.0
80000,1.296572,0.0,4.216298,2.0933902,0.10002264,9.8518714e-05,248.0,26.56263029575348,26.56263029575348,1.0
90000,1.2649767,0.0,5.007234,1.823833,0.098517664,9.83088e-05,248.0,27.575183733915672,27.575183733915672,1.0
100000,1.242654,0.0,5.6103764,1.9579538,0.10684749,9.810572e-05,248.0,28.51279771037218,28.51279771037218,1.0
110000,1.2178043,0.0,6.245305,1.3715426,0.098060615,9.790904e-05,248.0,27.36629065275192,27.36629065275192,1.0
120000,1.1909182,0.0,7.1384096,1.656381,0.0973571,9.771903e-05,248.0,28.304836481809616,28.304836481809616,1.0
130000,1.1589211,0.0,7.8754287,1.4301046,0.09635265,9.751417e-05,248.0,30.56482169032097,30.56482169032097,1.0
140000,1.1323133,0.0,8.449419,1.4004489,0.0916081,9.731368e-05,248.0,30.672881973550673,30.672881973550673,1.0
