Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,2.1886137,0.0,-0.024586955,-0.0211968,0.002471587,0.09837527,0.0002998683,0.110572375,1.4932289,-0.9999999310821295,248.0,-1.0000000894069672,0.1830816232623198
20000,2.114347,0.0,-0.21532297,0.07014277,0.00045501563,0.1027753,0.00029960126,0.13827014,1.2668504,-0.9999999310821295,248.0,-1.0000000894069672,0.45188696230902814
30000,1.9792416,0.0,-0.29091588,0.16967948,0.0021368915,0.100599304,0.00029929198,0.3150562,1.1803405,-0.9417832645529416,245.975,-0.9417834214866161,0.894408087618649
40000,1.7644006,0.0,-0.3360948,0.3050881,0.0023986404,0.106492296,0.00029895984,0.40061966,0.96186864,-0.9998749310980202,248.0,-0.9998750882223248,1.0271813455037773
50000,1.4881862,0.0,-0.3575608,0.4722404,0.004062263,0.0948224,0.0002986245,0.413176,0.6996482,-0.926386599726975,239.68,-0.9233195297420025,1.24104137532413
60000,1.3657523,0.0,-0.29979485,0.45649013,0.009762098,0.10211236,0.00029835218,0.2830903,0.6124816,-0.4028484306848523,180.9090909090909,-0.41351196116634775,0.6111968017149982
70000,1.3325713,0.0,-0.16433366,0.37259084,0.018843275,0.098211125,0.0002980676,0.23981616,0.4893257,0.07302036520275401,123.71951219512195,0.07300403314392741,0.3045686773740028
80000,1.3590018,0.0,0.14248542,0.2935686,0.03153238,0.093543455,0.00029775227,0.19704783,0.49442515,0.4826767934084108,75.21969696969697,0.4737853432695071,0.16901265219503053
90000,1.3006476,0.0,0.28638837,0.254913,0.025410961,0.097748876,0.00029744254,0.18753989,0.48839745,0.5222251352040678,69.63636363636364,0.5272156783178741,0.13478759497258008
100000,1.3514471,0.0,0.4054476,0.22710986,0.02646851,0.101123296,0.00029713297,0.15381137,0.5783514,0.6451447832371507,56.331428571428575,0.6360018864612688,0.0931181628177662
110000,1.2386873,0.0,0.5069601,0.21288376,0.024025341,0.09833096,0.00029684807,0.15044847,0.5593467,0.7465472171377737,41.424778761061944,0.7463702037271145,0.06428897195800612
120000,1.007972,5.0,0.77465886,0.2138401,0.010137591,0.09673463,0.0002965723,0.09202675,0.2761361,0.9246088234001414,17.504930966469427,0.9246345166498282,0.014906221793095515
130000,0.98170024,10.0,0.79059595,0.22264895,0.006093473,0.10130708,0.0002962589,0.09030877,0.28975576,0.9290173494457389,16.886524822695037,0.9290173384878371,0.015091455328535843
140000,1.1622064,10.0,0.56704956,0.21010548,0.00474004,0.10532546,0.00029594792,0.10460768,0.43779212,-0.9412499312544241,245.825,-0.9412500888109208,0.28832633402198554
150000,1.0471566,10.0,0.108574726,0.15916851,0.0008951615,0.10048979,0.0002956627,0.07977834,0.36673284,-0.9998749310980202,248.0,-0.9998750882223248,0.20910743915010244
160000,1.094464,10.0,-0.14459103,0.15237474,0.0006769609,0.09760289,0.00029537678,0.10655463,0.27446264,-0.9998665977676865,248.0,-0.9998667545616626,0.29471313785761594
170000,1.0715469,10.0,-0.26452786,0.20882674,0.0014949677,0.10494278,0.00029504494,0.13599528,0.22563295,-0.9658967565545546,245.47619047619048,-0.9602130477627119,0.39980891905725
180000,1.0232084,10.0,-0.32105586,0.22347474,0.0013724566,0.09290382,0.000294732,0.1238943,0.1640006,-0.9714915978896898,247.15,-0.9752102325791898,0.3443257592456496
190000,0.9434445,10.0,-0.3446288,0.1826984,0.00086742634,0.09772215,0.00029444133,0.107832514,0.16260712,-0.9755389383112258,247.2340425531915,-0.9732636525187381,0.28106263834376666
200000,0.9647506,10.0,-0.35760325,0.15250415,0.0008912836,0.093160905,0.00029415055,0.1017897,0.17145425,-0.9743249310238753,247.85,-0.9743250876665115,0.2522448574192822
210000,1.0105789,10.0,-0.35878563,0.130656,0.0011411567,0.09877013,0.00029385282,0.10371656,0.17203428,-0.967375999250903,246.28205128205127,-0.9689675649491752,0.2686588023902803
220000,1.0158261,10.0,-0.35966125,0.12341869,0.002370942,0.09682358,0.0002935442,0.10670519,0.21086943,-0.8503062395643242,237.7027027027027,-0.8579829915975913,0.26795183189022237
230000,0.95915467,10.0,-0.34078974,0.11763346,0.0035436952,0.09717485,0.00029323995,0.10363603,0.18704337,-0.8688888214349461,240.94871794871796,-0.8688889711331098,0.2615702357978966
