Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.1915858,0.0,-0.03895971,0.003814244,0.09410119,9.994676e-05,222.11111111111111,-0.6584961989591288,-0.6584961989591288,1.0
20000,2.166057,0.0,-0.08525371,0.02869681,0.0904406,9.9845274e-05,166.78846153846155,-0.11133954811979223,-0.11133954811979223,1.0
30000,2.1367564,0.0,0.065447085,0.03970826,0.090408295,9.974797e-05,123.35897435897436,0.2548657733124572,0.2548657733124572,1.0
40000,2.115341,0.0,0.1556032,0.038259692,0.09425859,9.96545e-05,103.7,0.3225841377631272,0.3225841377631272,1.0
50000,2.0607708,0.0,0.24778579,0.04616647,0.09488387,9.955103e-05,84.98245614035088,0.4424336204486611,0.4424336204486611,1.0
60000,2.0019116,0.0,0.27937964,0.041055188,0.102054656,9.944856e-05,81.58333333333333,0.44735535831490825,0.44735535831490825,1.0
70000,1.8952227,0.0,0.35973287,0.043035593,0.09853783,9.934459e-05,63.11971830985915,0.5656832074019926,0.5656832074019926,1.0
80000,1.776519,0.0,0.4133444,0.045462262,0.09921079,9.925087e-05,57.90659340659341,0.5987692290282511,0.5987692290282511,1.0
90000,1.4830074,2.0,0.60182285,0.048939783,0.10167836,9.915883e-05,26.013850415512465,0.8510341719412077,0.8510341719412077,1.0
100000,1.1632179,9.0,0.8603162,0.011067547,0.09359957,9.905611e-05,15.1421647819063,0.9358177043280556,0.9358177043280556,1.0
110000,1.133778,10.0,0.765611,0.011148358,0.096958436,9.895819e-05,67.9140625,0.5658076845682585,0.5658076845682585,1.0
120000,1.1329712,10.0,0.22559434,0.011393419,0.09668567,9.8852404e-05,205.625,-0.43351070487752874,-0.43351070487752874,1.0
130000,1.0900902,10.0,0.0055294884,0.017218973,0.09662284,9.8743345e-05,212.8095238095238,-0.428976810255716,-0.428976810255716,1.0
140000,0.9612009,10.0,-0.09441027,0.019407395,0.10249172,9.864973e-05,197.8,-0.3859136474353296,-0.3859136474353296,1.0
150000,0.9253843,10.0,-0.09557881,0.023780925,0.09846981,9.8556295e-05,189.95744680851064,-0.33274311137696105,-0.33274311137696105,1.0
160000,0.93396854,10.0,-0.10383148,0.026359314,0.09704086,9.845281e-05,193.26415094339623,-0.3259120116818626,-0.3259120116818626,1.0
170000,0.89184076,10.0,-0.10693306,0.024289345,0.10218742,9.835021e-05,193.5,-0.3232201815776105,-0.3232201815776105,1.0
180000,0.86491627,10.0,-0.102301456,0.026410103,0.09480758,9.824529e-05,187.8235294117647,-0.2616795404599263,-0.2616795404599263,1.0
190000,0.8340646,10.0,-0.09547246,0.024558816,0.102427535,9.815068e-05,193.74,-0.2866122953745784,-0.2866122953745784,1.0
200000,0.8449044,10.0,-0.12801127,0.01995771,0.10253976,9.805623e-05,206.6122448979592,-0.46504768303462435,-0.46504768303462435,1.0
210000,0.9304345,10.0,-0.14603144,0.023456227,0.10150814,9.794995e-05,196.89795918367346,-0.35800005647600913,-0.35800005647600913,1.0
220000,0.91409457,10.0,-0.13566922,0.022454102,0.10406679,9.784535e-05,197.81132075471697,-0.3703271043750475,-0.3703271043750475,1.0
230000,0.88362473,10.0,-0.15359874,0.023763057,0.09870029,9.775143e-05,189.54,-0.3376601846779094,-0.3376601846779094,1.0
240000,0.8686696,10.0,-0.14709428,0.025162425,0.0963158,9.765652e-05,194.65384615384616,-0.3424423703780541,-0.3424423703780541,1.0
250000,0.8880291,10.0,-0.12793657,0.024508027,0.09866619,9.755255e-05,187.53846153846155,-0.20264057552113252,-0.20264057552113252,1.0
260000,1.0012374,10.0,-0.13287613,0.022350224,0.10132416,9.744755e-05,199.35294117647058,-0.4229231385084299,-0.4229231385084299,1.0
270000,1.0445074,10.0,-0.18388128,0.014414892,0.09756058,9.734328e-05,212.17777777777778,-0.5338333946737376,-0.5338333946737376,1.0
280000,1.1080117,10.0,-0.19709878,0.020476224,0.104737446,9.724942e-05,210.3,-0.46742006301879885,-0.46742006301879885,1.0
290000,1.081616,10.0,-0.18451175,0.023535267,0.101054825,9.715509e-05,201.51063829787233,-0.39952783348659676,-0.39952783348659676,1.0
300000,1.1203171,10.0,-0.16295458,0.023790058,0.0981666,9.705008e-05,207.5531914893617,-0.3268085692791229,-0.3268085692791229,1.0
310000,1.2173072,10.0,-0.17523493,0.024016779,0.09352669,9.6945376e-05,203.18367346938774,-0.3907143455378863,-0.3907143455378863,1.0
320000,1.3376098,10.0,-0.17326759,0.022237767,0.10844091,9.685147e-05,215.0625,-0.4173546706108337,-0.4173546706108337,1.0
330000,1.3458135,10.0,-0.10725294,0.033558216,0.09394121,9.675785e-05,188.42,-0.1005267059803009,-0.1005267059803009,1.0
340000,1.3149714,10.0,-0.112871476,0.020434428,0.10077776,9.6653115e-05,209.4,-0.41094672739505766,-0.41094672739505766,1.0
350000,1.3118302,10.0,-0.10991652,0.031868864,0.09707689,9.654837e-05,199.14583333333334,-0.1880952861844277,-0.1880952861844277,1.0
360000,1.2574816,10.0,-0.09887526,0.025534984,0.0933597,9.6443575e-05,201.82692307692307,-0.3135000518881358,-0.3135000518881358,1.0
370000,1.2964379,10.0,-0.12056845,0.024839193,0.09351526,9.635001e-05,191.17391304347825,-0.2708478667165922,-0.2708478667165922,1.0
380000,1.3679116,10.0,-0.081636965,0.03401833,0.09420119,9.625744e-05,186.05357142857142,-0.10773813884173121,-0.10773813884173121,1.0
390000,1.3673862,10.0,-0.03279475,0.03148038,0.09419024,9.615369e-05,184.05357142857142,0.006964233304773059,0.006964233304773059,1.0
400000,1.3918113,10.0,-0.009925817,0.03200897,0.096274264,9.604847e-05,182.9433962264151,-0.05911953381772311,-0.05911953381772311,1.0
410000,1.3160055,10.0,-0.023285963,0.021826837,0.1003804,9.5943054e-05,195.83673469387756,-0.28794449629882973,-0.28794449629882973,1.0
420000,1.2983139,10.0,-0.032202113,0.035205837,0.100092456,9.584894e-05,171.98275862068965,0.031338943263231694,0.031338943263231694,1.0
430000,1.302999,10.0,0.029957363,0.038585514,0.09350773,9.575453e-05,153.6086956521739,0.1417646728017751,0.1417646728017751,1.0
440000,1.3769794,10.0,0.072668135,0.036028724,0.10365162,9.565035e-05,160.93548387096774,0.19772039642257075,0.19772039642257075,1.0
450000,1.4153651,10.0,0.11182438,0.032792065,0.09750892,9.554652e-05,152.98333333333332,0.17930597018023006,0.17930597018023006,1.0
460000,1.3476347,10.0,0.13238232,0.039469868,0.09607387,9.544283e-05,139.37179487179486,0.35102161223238165,0.35102161223238165,1.0
470000,1.3392111,10.0,0.21971606,0.03580069,0.08996154,9.535003e-05,129.14814814814815,0.41028803770924793,0.41028803770924793,1.0
480000,1.3251907,10.0,0.25347483,0.033239145,0.10292181,9.525739e-05,117.92405063291139,0.48256537016434004,0.48256537016434004,1.0
490000,1.4080354,10.0,0.27816644,0.03295112,0.09583419,9.515406e-05,119.4320987654321,0.4584755832102241,0.4584755832102241,1.0
500000,1.4471385,10.0,0.28700852,0.029627651,0.096276194,9.5050025e-05,120.87654320987654,0.4495143735850299,0.4495143735850299,1.0
510000,1.4719211,10.0,0.29668847,0.02927883,0.101974346,9.4946095e-05,114.62921348314607,0.43565540467755176,0.43565540467755176,1.0
520000,1.4225587,10.0,0.36478573,0.028232733,0.09821576,9.484211e-05,95.24324324324324,0.5975636121901599,0.5975636121901599,1.0
530000,1.4301564,10.0,0.42313772,0.022321615,0.097508535,9.47488e-05,88.90654205607477,0.6103551131542598,0.6103551131542598,1.0
540000,1.4101402,10.0,0.40121818,0.021639813,0.09399,9.465547e-05,110.96551724137932,0.5078122379450962,0.5078122379450962,1.0
550000,1.3692131,10.0,0.3746387,0.024507103,0.09649826,9.455173e-05,97.49,0.5533433079719543,0.5533433079719543,1.0
560000,1.3352637,10.0,0.39076295,0.024390686,0.0988349,9.444686e-05,93.79464285714286,0.5849999774779592,0.5849999774779592,1.0
570000,1.3043861,10.0,0.46120292,0.021025505,0.10192956,9.434232e-05,75.859375,0.6926249836105853,0.6926249836105853,1.0
580000,1.276241,10.0,0.49150544,0.020023236,0.095844336,9.4249175e-05,80.21951219512195,0.6419268148701366,0.6419268148701366,1.0
590000,1.2299863,10.0,0.5103723,0.020323373,0.10583679,9.4156145e-05,67.51351351351352,0.7300900893436896,0.7300900893436896,1.0
600000,1.179213,10.0,0.5486805,0.01750328,0.105178975,9.4052826e-05,62.830065359477125,0.7287298559752944,0.7287298559752944,1.0
610000,1.1297605,11.0,0.5379606,0.016651805,0.09862437,9.3948925e-05,63.48299319727891,0.7428185951953031,0.7428185951953031,1.0
620000,1.0878582,11.0,0.54657495,0.017001836,0.103942916,9.3845345e-05,66.05194805194805,0.7191688331303658,0.7191688331303658,1.0
630000,1.039358,13.0,0.6223466,0.015681738,0.09796475,9.374238e-05,47.53921568627451,0.8058692888886321,0.8058692888886321,1.0
640000,1.0588301,15.0,0.66060525,0.013619214,0.0960533,9.365013e-05,48.78974358974359,0.8005726716457269,0.8005726716457269,1.0
650000,1.0746101,17.0,0.6606024,0.018888768,0.100486055,9.355728e-05,44.339622641509436,0.8189245243117494,0.8189245243117494,1.0
660000,0.99280167,17.0,0.5203266,0.022831738,0.091114305,9.3454364e-05,83.90265486725664,0.6617020416048776,0.6617020416048776,1.0
670000,1.040502,18.0,0.4586367,0.031492822,0.10045006,9.335022e-05,57.16477272727273,0.750259464775974,0.750259464775974,1.0
680000,1.0610335,20.0,0.5967724,0.02012056,0.098735675,9.3247596e-05,54.70857142857143,0.7796666690672951,0.7796666690672951,1.0
690000,1.0262989,20.0,0.48184663,0.019907635,0.09574579,9.3144416e-05,97.22340425531915,0.5647122552520351,0.5647122552520351,1.0
700000,1.036533,20.0,0.4026335,0.02257657,0.09878391,9.305126e-05,99.74757281553399,0.5485760213680637,0.5485760213680637,1.0
710000,1.0272075,20.0,0.42158663,0.022021983,0.09829531,9.29584e-05,85.64285714285714,0.6353749768542392,0.6353749768542392,1.0
720000,1.0143183,20.0,0.4706753,0.018585328,0.10313474,9.285488e-05,79.0,0.6697640895843506,0.6697640895843506,1.0
730000,1.0230379,20.0,0.50398004,0.017009607,0.099916056,9.275022e-05,79.44628099173553,0.6557437895743314,0.6557437895743314,1.0
740000,1.0319672,20.0,0.5045626,0.017141053,0.098066404,9.264683e-05,84.43333333333334,0.6417055423061053,0.6417055423061053,1.0
750000,1.000943,21.0,0.4913796,0.015854914,0.09640448,9.254363e-05,74.37209302325581,0.6915038639260817,0.6915038639260817,1.0
760000,1.0082136,21.0,0.5029811,0.017296456,0.098066084,9.245014e-05,79.34677419354838,0.6698145015585807,0.6698145015585807,1.0
770000,0.964749,21.0,0.5126881,0.016213927,0.09825589,9.235765e-05,77.592,0.6789973139762878,0.6789973139762878,1.0
780000,0.92896104,21.0,0.50304043,0.01545843,0.101865694,9.225483e-05,77.83333333333333,0.6766163903096366,0.6766163903096366,1.0
790000,0.8745725,23.0,0.5682947,0.019252243,0.10197332,9.21516e-05,53.95,0.7800888922479418,0.7800888922479418,1.0
800000,0.86371243,25.0,0.572557,0.019030372,0.100427486,9.204863e-05,54.48823529411764,0.7780117764192469,0.7780117764192469,1.0
810000,0.8385746,26.0,0.54332834,0.016307767,0.100403175,9.194591e-05,72.52941176470588,0.707166666712831,0.707166666712831,1.0
820000,0.7518873,27.0,0.53115314,0.01572447,0.09894477,9.18429e-05,73.3203125,0.7022351437760878,0.7022351437760878,1.0
830000,0.7495132,29.0,0.54975986,0.013829638,0.09943375,9.174987e-05,65.95364238410596,0.7325288983186086,0.7325288983186086,1.0
840000,0.7092545,30.0,0.5927818,0.0115477685,0.09322987,9.1656715e-05,70.0375939849624,0.7075689325207158,0.7075689325207158,1.0
850000,0.690023,31.0,0.48450407,0.01958395,0.09231744,9.155263e-05,84.23728813559322,0.6434649800052162,0.6434649800052162,1.0
860000,0.7772422,33.0,0.5223612,0.01799195,0.09636173,9.144856e-05,68.8828125,0.7211732261293516,0.7211732261293516,1.0
870000,0.8084193,34.0,0.49423394,0.020478453,0.09988027,9.1344715e-05,69.384,0.7180052967298598,0.7180052967298598,1.0
880000,0.80245847,35.0,0.51402056,0.020638976,0.10184211,9.125207e-05,80.6178861788618,0.6735792301717352,0.6735792301717352,1.0
890000,0.7684696,35.0,0.44654125,0.02089627,0.09498025,9.115769e-05,88.45454545454545,0.632112102616917,0.632112102616917,1.0
900000,0.7039079,37.0,0.5467955,0.019499633,0.09701033,9.105458e-05,53.251461988304094,0.7832823649925345,0.7832823649925345,1.0
910000,0.7082358,38.0,0.53082055,0.020343117,0.10260073,9.0948306e-05,64.06666666666666,0.7396715418265684,0.7396715418265684,1.0
