Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,2.1889882,0.0,-0.05791898,0.005822068,0.0031538405,0.101990245,0.0002998322,0.10249795,1.4056411,-0.8071859819641294,228.97674418604652,-0.8399365884917123,0.18908428606976355
20000,2.1226568,0.0,-0.13415541,0.07560611,0.041304335,0.10467537,0.00029955615,0.31947303,1.0649201,-0.6901139745635814,216.81578947368422,-0.6578462269061651,0.9438700758111782
30000,2.0999002,0.0,-0.18345416,0.34056982,0.01149691,0.1000794,0.00029926855,0.35195473,1.2998016,-0.7245529659505171,219.13636363636363,-0.7245530973781239,1.1362991779195992
40000,1.890819,0.0,-0.25137004,0.4333643,0.005954572,0.107907616,0.00029894005,0.38333178,0.92368525,-0.8071249348227866,231.25,-0.8071250818669796,0.9537161033600569
50000,1.4514315,0.0,-0.24386062,0.5662272,0.007300095,0.10021283,0.00029864078,0.40049258,0.7527177,-0.6426854718142664,220.24528301886792,-0.6135170733442112,1.0018082029965458
60000,1.3486367,0.0,-0.097137414,0.491403,0.020029072,0.09818146,0.00029836025,0.24676263,0.528442,0.07040094244105087,133.13513513513513,0.042232420099409,0.3979058633803537
70000,1.4048171,0.0,0.2320148,0.39444652,0.02520524,0.098713815,0.00029805224,0.22605744,0.5156069,0.551715410178384,70.61538461538461,0.5251908336431925,0.17565358896519392
80000,1.5063109,0.0,0.40858606,0.35305083,0.026044896,0.095854536,0.0002977406,0.24754088,0.5702819,0.6410729376305729,54.890625,0.6417048606090248,0.1382132112145579
90000,1.443792,0.0,0.48056284,0.33444557,0.022581827,0.096098796,0.00029743012,0.22600973,0.6159564,0.6971741477317126,48.63681592039801,0.6964908737448318,0.12027652301264936
100000,1.1828403,5.0,0.73612726,0.33582127,0.0103775095,0.0982574,0.00029712374,0.13687521,0.3292147,0.917028509914064,18.39761431411531,0.9170059805134853,0.027412471869789748
110000,1.0476929,9.0,0.78786737,0.33700204,0.00584101,0.09348949,0.000296848,0.1564582,0.31821126,0.927239043546804,17.330532212885153,0.9272315625716993,0.023642966572028332
120000,1.2037687,10.0,0.68696815,0.3235897,0.005404559,0.0994841,0.00029658477,0.15360841,0.4056952,0.44943752658400626,74.015625,0.45690767260698173,0.13547756526834118
130000,1.1878909,10.0,0.16286917,0.25487405,0.00096669083,0.10312235,0.0002962588,0.15576395,0.47325665,-0.9999999310821295,248.0,-1.0000000894069672,0.39450843799859286
140000,1.1684389,10.0,-0.08486367,0.21745329,0.000990627,0.0955494,0.00029593613,0.16488557,0.4000715,-0.9999999310821295,248.0,-1.0000000894069672,0.45189980066874447
150000,1.1247913,10.0,-0.21444587,0.27438906,0.0017488297,0.09524242,0.00029562876,0.22700827,0.33531907,-0.9999999310821295,248.0,-1.0000000894069672,0.6103693419381192
160000,1.0591918,10.0,-0.28659597,0.3378019,0.0021565813,0.09600747,0.00029536546,0.18135789,0.2208219,-0.9282113143651769,242.29268292682926,-0.92821146874893,0.5050367238681491
170000,1.0226014,10.0,-0.32782614,0.27042535,0.00022054094,0.10061468,0.00029504154,0.14490859,0.22438094,-0.999869849799746,248.0,-0.9998432248830795,0.3847992564825451
