Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.1880345,50.095238095238095,-0.056190196,-1.203174610932668,-1.203174610932668,0.012509593,0.09321587,9.993991e-05,1.0
20000,2.1858115,92.0,-0.2792315,-0.8727083280682564,-0.8727083280682564,0.012944464,0.10594815,9.98542e-05,1.0
30000,2.172742,88.0,-0.30184892,-1.3523333668708801,-1.3523333668708801,0.0002767089,0.10102804,9.9750374e-05,1.0
40000,2.157344,119.33333333333333,-0.3430418,-1.481000045935313,-1.481000045935313,0.0014238209,0.09626117,9.964669e-05,1.0
50000,2.1403232,226.4,-0.37463045,-1.1128000915050507,-1.1128000915050507,0.00076198136,0.09357982,9.9554745e-05,1.0
60000,2.1045153,90.0,-0.37606737,-5.357666492462158,-5.357666492462158,0.01004977,0.09629988,9.944913e-05,1.0
70000,2.1109183,67.75,-0.37975308,-3.2701666355133057,-3.2701666355133057,0.026442757,0.09708603,9.935039e-05,1.0
80000,2.098726,240.55555555555554,-0.38504365,-1.0811852680312262,-1.0811852680312262,0.0006570823,0.09592367,9.925777e-05,1.0
90000,2.074047,None,-0.37022868,None,None,8.7650566e-05,0.10641696,9.915623e-05,1.0
100000,2.0475159,None,-0.35785973,None,None,0.00011467476,0.10330896,9.905384e-05,1.0
110000,2.0595942,None,-0.3875154,None,None,0.00012643676,0.10161545,9.8951416e-05,1.0
120000,2.0455723,None,-0.3970948,None,None,3.944361e-05,0.09632171,9.884904e-05,1.0
130000,2.0543895,146.0,-0.39142781,-1.5900000035762787,-1.5900000035762787,0.0002521561,0.09887418,9.874643e-05,1.0
140000,2.0270422,141.0,-0.4132394,-1.5686667263507843,-1.5686667263507843,0.0011840804,0.09652385,9.865027e-05,1.0
150000,2.0194867,None,-0.39833972,None,None,8.237074e-05,0.104366586,9.854982e-05,1.0
160000,1.9773636,107.0,-0.41427487,-1.4306668043136597,-1.4306668043136597,0.0002471291,0.0927709,9.844763e-05,1.0
170000,1.9863673,44.0,-0.5192787,-3.9631413835467715,-3.9631413835467715,0.2659889,0.09626763,9.8350734e-05,1.0
180000,1.9771799,60.5,-0.3890798,-1.2440000772476196,-1.2440000772476196,0.001061439,0.09914175,9.8252065e-05,1.0
190000,1.9750855,None,-0.38673112,None,None,0.00023160879,0.10055371,9.814867e-05,1.0
200000,1.999702,48.0,-0.3885446,-1.1946666240692139,-1.1946666240692139,0.00070898817,0.096801236,9.804905e-05,1.0
210000,2.0357456,None,-0.34758952,None,None,0.0003242636,0.1020996,9.79544e-05,1.0
220000,2.0099576,None,-0.4024858,None,None,0.00020941815,0.10229324,9.785199e-05,1.0
230000,2.0242803,None,-0.38651446,None,None,0.00011805982,0.09850801,9.774962e-05,1.0
240000,2.0252604,55.46666666666667,-0.40716648,-1.1921904683113098,-1.1921904683113098,0.0016256138,0.09810326,9.765511e-05,1.0
250000,2.015617,69.9,-0.43306217,-1.3190303336490283,-1.3190303336490283,0.00093721226,0.095097736,9.75617e-05,1.0
260000,1.9728119,None,-0.3862131,None,None,0.0004615249,0.096940555,9.745882e-05,1.0
270000,1.9949238,63.45,-0.41687137,-1.2587368519682633,-1.2587368519682633,0.0018669029,0.10077046,9.734694e-05,1.0
280000,1.9772246,45.6551724137931,-0.5903355,-4.382622071107229,-4.382622071107229,0.31723008,0.09664093,9.724259e-05,1.0
290000,1.945435,88.0,-0.38541675,-1.3556666672229767,-1.3556666672229767,0.0010344578,0.100355916,9.715225e-05,1.0
300000,1.9737295,192.5,-0.43811098,-1.7761667370796204,-1.7761667370796204,0.0007994394,0.097655766,9.705122e-05,1.0
310000,1.960534,105.0,-0.39630026,-1.4240000247955322,-1.4240000247955322,0.00057812565,0.0992039,9.694812e-05,1.0
320000,1.9237655,50.333333333333336,-0.395374,-1.2039999961853027,-1.2039999961853027,0.0001064622,0.097656704,9.68458e-05,1.0
330000,1.919335,147.0,-0.4024018,-1.5920000970363617,-1.5920000970363617,0.0012138309,0.10096483,9.674299e-05,1.0
340000,1.8829037,None,-0.41413277,None,None,0.00052022375,0.0983551,9.66528e-05,1.0
350000,1.951003,None,-0.4007185,None,None,7.440492e-05,0.09829165,9.6558404e-05,1.0
360000,1.9737685,220.91666666666666,-0.39541632,-1.224555641412735,-1.224555641412735,0.000700597,0.09700163,9.644976e-05,1.0
370000,1.9612921,None,-0.3989094,None,None,8.713999e-05,0.099913016,9.634222e-05,1.0
380000,1.9611099,None,-0.4005181,None,None,2.9135479e-05,0.095392235,9.625006e-05,1.0
390000,1.9152497,None,-0.4062744,None,None,1.4104796e-05,0.10561649,9.61579e-05,1.0
400000,1.9260179,68.0,-0.40203694,-1.2746667265892029,-1.2746667265892029,0.0003281152,0.095693216,9.6051626e-05,1.0
410000,1.9069358,None,-0.38701937,None,None,6.081121e-05,0.098165214,9.5942756e-05,1.0
420000,1.8797097,121.5,-0.41053903,-1.491500049829483,-1.491500049829483,0.00054209423,0.099222094,9.584242e-05,1.0
430000,1.8857372,None,-0.4048957,None,None,2.4631834e-05,0.09508082,9.574702e-05,1.0
440000,1.9185967,None,-0.3988798,None,None,7.682856e-06,0.098850794,9.5644624e-05,1.0
450000,1.8605922,248.0,-0.39782012,-1.0000000894069672,-1.0000000894069672,4.0548475e-06,0.099200964,9.5547584e-05,1.0
460000,1.8422275,None,-0.39724165,None,None,3.5367561e-06,0.095579274,9.5450545e-05,1.0
470000,1.7882404,57.0,-0.3943833,-1.2319999933242798,-1.2319999933242798,0.00026074925,0.097288415,9.5358235e-05,1.0
480000,1.860929,None,-0.39319667,None,None,5.546609e-05,0.09774706,9.5256684e-05,1.0
490000,1.8753943,158.0,-0.39878824,-1.637333333492279,-1.637333333492279,0.00017496246,0.09680813,9.515403e-05,1.0
500000,1.8728503,42.0,-0.4001443,-1.1719999313354492,-1.1719999313354492,0.00019759574,0.09315836,9.505678e-05,1.0
510000,1.8295747,None,-0.38458702,None,None,6.0395738e-05,0.095111504,9.4958974e-05,1.0
520000,1.820975,69.85714285714286,-0.38911948,-1.282714307308197,-1.282714307308197,0.00019507475,0.09988832,9.485638e-05,1.0
530000,1.8738164,None,-0.41400293,None,None,0.0006191244,0.10475843,9.474537e-05,1.0
540000,1.7365,248.0,-0.37893793,-1.0000000894069672,-1.0000000894069672,4.8768925e-05,0.097722255,9.465192e-05,1.0
550000,1.8955851,None,-0.38749468,None,None,7.888264e-06,0.09608545,9.455001e-05,1.0
560000,1.8416736,85.0,-0.40313357,-1.34333336353302,-1.34333336353302,0.00041664334,0.0971153,9.445293e-05,1.0
570000,1.8896052,None,-0.39744958,None,None,2.4911122e-05,0.10583136,9.435585e-05,1.0
580000,1.9231067,None,-0.39993593,None,None,1.8125078e-05,0.099621065,9.4253446e-05,1.0
590000,1.8933147,None,-0.3996521,None,None,2.501612e-06,0.09660016,9.4151044e-05,1.0
600000,1.9351814,59.22222222222222,-0.40846813,-1.2401481204562717,-1.2401481204562717,0.001271816,0.09893599,9.405543e-05,1.0
610000,1.9086195,74.0,-0.3721149,-1.2986667156219482,-1.2986667156219482,8.130091e-05,0.10189418,9.395618e-05,1.0
620000,1.9165179,107.33333333333333,-0.4201359,-1.4342222611109416,-1.4342222611109416,0.0004056984,0.09678121,9.38454e-05,1.0
630000,1.8900282,None,-0.38359812,None,None,3.644112e-05,0.092117555,9.375121e-05,1.0
640000,1.920822,36.0,-0.38706988,-1.1471110979715984,-1.1471110979715984,0.00040883129,0.09921135,9.365527e-05,1.0
650000,1.9372766,248.0,-0.3944664,-1.0000000894069672,-1.0000000894069672,3.7294554e-05,0.091678925,9.354949e-05,1.0
660000,1.9376016,None,-0.39530995,None,None,7.3210117e-06,0.09518127,9.3454895e-05,1.0
670000,1.9746051,129.5,-0.39618304,-1.522833377122879,-1.522833377122879,0.0005358365,0.0935034,9.335258e-05,1.0
680000,1.9708989,186.0,-0.39000475,-1.7493333220481873,-1.7493333220481873,0.00028525677,0.098984644,9.324979e-05,1.0
690000,1.9946029,228.0,-0.39453268,-1.030518611272176,-1.030518611272176,3.204313e-05,0.100856826,9.31524e-05,1.0
700000,1.9278104,238.88888888888889,-0.42395338,-1.0746667451328702,-1.0746667451328702,0.0005281209,0.09324148,9.3054994e-05,1.0
710000,1.8713741,248.0,-0.38763374,-1.0000000894069672,-1.0000000894069672,5.882528e-05,0.101231195,9.2946495e-05,1.0
720000,1.894415,None,-0.3869602,None,None,5.3495176e-05,0.09969767,9.2850416e-05,1.0
730000,1.8453327,85.0,-0.38753414,-1.340333342552185,-1.340333342552185,0.0002649299,0.09985282,9.2756134e-05,1.0
740000,1.8624681,None,-0.3834886,None,None,3.8072055e-06,0.10566608,9.264604e-05,1.0
