Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.1725976,80.11627906976744,-0.3838922,-2.010230494099994,-2.010230494099994,0.268528,0.10268235,9.993957e-05,1.0
20000,2.000217,30.486301369863014,-0.8143007,-0.9150775156609,-0.9150775156609,0.098066166,0.10576658,9.984516e-05,1.0
30000,1.9344978,31.40223463687151,-0.670374,-0.05497335455271119,-0.05497335455271119,0.45328045,0.097059265,9.9741854e-05,1.0
40000,1.9123336,30.12093023255814,-0.6590973,-0.6532743411643482,-0.6532743411643482,0.14826539,0.099168256,9.964789e-05,1.0
50000,1.8858477,31.433862433862434,-0.6540111,-0.6997497567424068,-0.6997497567424068,0.11486012,0.096825615,9.955433e-05,1.0
60000,1.8554629,25.468503937007874,-0.41081288,-0.05523382232883784,-0.05523382232883784,0.1945658,0.10268023,9.94508e-05,1.0
70000,1.7596091,23.5188679245283,0.55246544,1.7885409981574651,1.7885409981574651,0.18564986,0.10222864,9.935392e-05,1.0
80000,1.8392267,26.406666666666666,0.66571236,1.267911089261373,1.267911089261373,0.39103597,0.09664583,9.925659e-05,1.0
90000,1.7638079,24.151898734177216,1.5860589,2.523490798823974,2.523490798823974,0.22554684,0.0959842,9.914845e-05,1.0
100000,1.6798271,24.537688442211056,1.639312,2.6508813049587503,2.6508813049587503,0.07734588,0.09980376,9.904918e-05,1.0
110000,1.6622157,29.242857142857144,1.9781277,2.813912917982857,2.813912917982857,0.13563383,0.09753372,9.894393e-05,1.0
120000,1.6071932,19.42,1.44461,1.9506022185087204,1.9506022185087204,0.13459477,0.099636145,9.88469e-05,1.0
130000,1.3446392,15.731764705882354,3.0713937,3.9478756012219303,3.9478756012219303,0.092674196,0.096483625,9.874904e-05,1.0
140000,1.662365,21.424581005586592,2.801309,3.816929734951957,3.816929734951957,0.061989255,0.09816714,9.864427e-05,1.0
150000,1.5290353,20.855305466237944,2.8222303,3.463073108477886,3.463073108477886,0.16066487,0.100160755,9.854869e-05,1.0
160000,1.6088994,20.280172413793103,2.3900454,2.998003109718891,2.998003109718891,0.08545312,0.09862183,9.845223e-05,1.0
170000,1.4897846,20.71904761904762,2.1500177,3.2899111456104686,3.2899111456104686,0.09669341,0.10022637,9.834897e-05,1.0
180000,1.3304993,19.907035175879397,3.477857,4.305213872371453,4.305213872371453,0.18196437,0.09731608,9.8257166e-05,1.0
190000,1.5506089,36.424418604651166,2.1175272,3.1341013581077486,3.1341013581077486,0.44256958,0.10115051,9.815009e-05,1.0
200000,1.5801709,27.61935483870968,2.144736,1.4948207520669508,1.4948207520669508,0.8190756,0.08859117,9.804626e-05,1.0
210000,1.6673845,42.93846153846154,0.5938937,0.6860804008319974,0.6860804008319974,0.23517615,0.103903554,9.794138e-05,1.0
220000,1.6905539,41.648648648648646,0.6712234,3.926756286307385,3.926756286307385,0.21993656,0.10185191,9.785387e-05,1.0
230000,1.5368571,33.03658536585366,0.8789851,3.305802545429748,3.305802545429748,0.16293138,0.10020673,9.775577e-05,1.0
240000,1.6232785,34.14141414141414,1.140273,2.638993894567295,2.638993894567295,0.22918214,0.10015327,9.765373e-05,1.0
250000,1.4549268,58.51764705882353,1.1732577,1.9380980567342934,1.9380980567342934,0.42829242,0.11772201,9.754629e-05,1.0
260000,1.5474224,73.2,0.520821,1.6857116550207139,1.6857116550207139,0.097333066,0.1003096,9.744312e-05,1.0
270000,1.5688454,62.59701492537314,0.7120412,0.2158725532618436,0.2158725532618436,0.26950753,0.100898266,9.735455e-05,1.0
280000,1.504171,49.97540983606557,1.1168882,2.0882211448700447,2.0882211448700447,0.24955508,0.09529937,9.725285e-05,1.0
290000,1.5237943,54.848101265822784,0.99932814,2.757294853276844,2.757294853276844,0.2107189,0.093534395,9.715022e-05,1.0
300000,1.368312,33.644444444444446,2.3387358,4.419826833407084,4.419826833407084,0.22756152,0.10046573,9.705394e-05,1.0
310000,1.5973041,54.90909090909091,0.96059525,4.067823236896878,4.067823236896878,0.10779711,0.09870346,9.694314e-05,1.0
320000,1.5223203,45.14545454545455,1.531642,2.6415230315010825,2.6415230315010825,0.25273526,0.098168194,9.684347e-05,1.0
330000,1.5999707,81.73333333333333,0.44978157,1.6885382811228433,1.6885382811228433,0.10999888,0.115948334,9.675336e-05,1.0
340000,1.5111846,61.27272727272727,0.35787746,-0.4818543381989002,-0.4818543381989002,0.11976446,0.108706966,9.664713e-05,1.0
350000,1.4901611,67.92156862745098,0.999197,3.0501562777687523,3.0501562777687523,0.31787175,0.10141604,9.65488e-05,1.0
360000,1.5927538,59.05555555555556,0.88665986,0.6624589848191771,0.6624589848191771,0.19374654,0.10005009,9.64467e-05,1.0
370000,1.366702,36.714285714285715,1.5147333,2.723327443197176,2.723327443197176,0.37063402,0.102380924,9.634695e-05,1.0
380000,1.5068276,49.059701492537314,1.5068554,3.598556474963231,3.598556474963231,0.13259725,0.09993155,9.62494e-05,1.0
390000,1.5036739,62.18181818181818,1.0942419,0.7192840834981516,0.7192840834981516,0.30338332,0.10117545,9.614318e-05,1.0
400000,1.6413162,88.8048780487805,0.72421026,0.7255777177356538,0.7255777177356538,0.09493503,0.09614242,9.603959e-05,1.0
