Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,2.1856036,54.771929824561404,-0.1583161,2.651608295607985,2.651608295607985,0.912866,0.1001824,9.9454875e-05,1.0
20000,2.1489127,32.68604651162791,0.08644434,3.064484349516935,3.064484349516935,1.2501886,0.09716825,9.853097e-05,1.0
30000,2.1410582,32.0,-0.3979195,3.1461091866860023,3.1461091866860023,0.33214492,0.09426069,9.747934e-05,1.0
40000,2.0685165,39.5,-0.74175817,4.416374220567591,4.416374220567591,0.4431027,0.095183305,9.645452e-05,1.0
50000,1.9804163,45.18181818181818,-0.752873,3.995363809845664,3.995363809845664,0.23672438,0.09547167,9.54708e-05,1.0
60000,1.9603226,32.45454545454545,-0.594713,3.9789686383623066,3.9789686383623066,0.30838612,0.09363864,9.4530835e-05,1.0
70000,1.9407518,42.095238095238095,-0.5332795,4.345581230663118,4.345581230663118,0.47647467,0.09787409,9.348466e-05,1.0
80000,1.9236965,58.5,-0.6528373,3.436447548866272,3.436447548866272,0.17455998,0.09406467,9.250792e-05,1.0
90000,1.8673486,36.98765432098765,0.055439033,4.419831354676941,4.419831354676941,0.78952414,0.09854427,9.1505986e-05,1.0
100000,1.881227,55.375,-0.020556893,3.9743336538473764,3.9743336538473764,0.4250592,0.09922383,9.046048e-05,1.0
110000,1.8728483,40.32727272727273,0.29706854,4.1548244432969526,4.1548244432969526,0.53420556,0.09656376,8.9459165e-05,1.0
120000,1.8769752,63.2,0.3465456,3.47603062192599,3.47603062192599,0.48246017,0.10200286,8.842396e-05,1.0
130000,1.872022,79.83333333333333,0.34169576,3.1108363512016477,3.1108363512016477,0.3290912,0.10181487,8.7534136e-05,1.0
140000,1.8226525,72.42307692307692,0.59973174,3.3852990670846057,3.3852990670846057,0.37366638,0.09451067,8.651974e-05,1.0
150000,1.8322856,70.21311475409836,0.9565396,3.5349885036547977,3.5349885036547977,0.4217302,0.09241787,8.5423715e-05,1.0
160000,1.7864923,63.924731182795696,1.2793001,4.338329906159259,4.338329906159259,0.5931858,0.09596945,8.445336e-05,1.0
170000,1.7838638,45.30612244897959,1.827229,3.9185485529656314,3.9185485529656314,0.55349845,0.09603976,8.348651e-05,1.0
180000,1.7961178,60.625,1.5570236,3.9872734160490437,3.9872734160490437,0.4783807,0.096638255,8.2494036e-05,1.0
190000,1.7938433,73.34408602150538,1.5283691,3.1263201198270245,3.1263201198270245,0.36292353,0.093652785,8.153158e-05,1.0
200000,1.7401137,45.81410256410256,2.097543,3.6121653341330013,3.6121653341330013,0.4642815,0.10131899,8.047774e-05,1.0
