Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,2.1790535,-0.34642437,0.018100414,0.22099316,0.10045681,9.9989025e-05,0.14719291,1.2929565,248.0,-11.452353812754154,-11.452353812754154,0.3748614341020584,1.0
20000,2.1015427,-0.7594182,0.13042574,0.15690129,0.09873992,9.996546e-05,0.28487426,0.6951816,248.0,-7.18665130622685,-7.18665130622685,1.1363795483484864,1.0
30000,1.9816347,-0.906606,0.2633253,0.06543472,0.10560318,9.9937286e-05,0.2942139,0.4821536,244.8181818181818,-4.381529216513489,-4.381529216513489,1.075412088948669,1.0
40000,1.823581,-0.96399045,0.36528072,0.1419649,0.09627346,9.991122e-05,0.2879079,0.7069602,235.45098039215685,-1.8417297083263595,-1.8417297083263595,0.9364904353084663,1.0
50000,1.7434884,-0.5431513,0.3244757,0.3098176,0.09846068,9.988513e-05,0.17919913,0.7553882,190.59322033898306,0.8774985729670916,0.8774985729670916,0.5380259752884263,1.0
60000,1.6515883,0.7483443,0.26765755,0.49571764,0.10328057,9.986285e-05,0.16569424,0.65630794,116.0,5.020540813604991,5.020540813604991,0.23639085476419755,1.0
70000,1.6270926,0.91653067,0.22223556,0.5043534,0.09566206,9.9837685e-05,0.15340286,0.47837543,125.1875,4.439978902228177,4.439978902228177,0.21559588250238448,1.0
80000,1.4994173,2.5976548,0.21076937,0.5984586,0.098197065,9.9811565e-05,0.13853386,0.30806333,94.28155339805825,6.665160553712471,6.665160553712471,0.14534603192598797,1.0
90000,1.3951852,3.1143577,0.17819153,0.6356257,0.099073276,9.9787845e-05,0.14168951,0.37127197,85.42608695652174,6.162222524912193,6.162222524912193,0.13643123715280972,1.0
100000,1.3288352,3.238776,0.18512385,0.62134624,0.09164223,9.976388e-05,0.1166378,0.34053475,86.1981981981982,8.600510473186905,8.600510473186905,0.11738155488562477,1.0
110000,1.3212692,4.4829774,0.17646457,0.6478598,0.100276016,9.9736804e-05,0.10527675,0.17468783,75.45901639344262,9.171640825707739,9.171640825707739,0.08601532820460757,1.0
120000,1.2825226,4.5034747,0.15660334,0.40120453,0.097706094,9.971302e-05,0.1159,0.23251645,87.1875,8.893780480633986,8.893780480633986,0.1253465000741385,1.0
130000,1.1126233,5.4915156,0.15343161,0.46243048,0.098407745,9.9689256e-05,0.06478203,0.07536702,59.88,9.377887661457061,9.377887661457061,0.04004685952638586,1.0
140000,1.0672015,5.0754876,0.16592476,0.4072981,0.08960103,9.9663215e-05,0.057817273,0.110894516,61.635802469135804,9.288562702543942,9.288562702543942,0.04497030099715899,1.0
150000,1.2023653,4.832122,0.16738588,0.44488057,0.09744125,9.9637684e-05,0.060626604,0.16456637,60.62820512820513,8.076782467288355,8.076782467288355,0.04298359663375924,1.0
160000,1.4386334,3.7718832,0.19412038,0.31482497,0.10014965,9.961093e-05,0.15441445,0.24528971,70.09782608695652,6.339414271585484,6.339414271585484,0.10795155660982461,1.0
170000,1.5606655,1.5510505,0.24063177,0.2487343,0.09393911,9.9586934e-05,0.19193906,0.3157877,173.96153846153845,1.49095975034512,1.49095975034512,0.7395292536283915,1.0
180000,1.4276673,1.8412853,0.2646393,0.18383223,0.10032091,9.9562734e-05,0.16389878,0.22980778,155.13114754098362,3.0128510360916456,3.0128510360916456,0.462857581085215,1.0
190000,1.3805006,0.98536736,0.26568934,0.2450746,0.09539611,9.9534554e-05,0.16169134,0.31460643,221.18367346938774,1.8351902675628662,1.8351902675628662,0.602561485953629,1.0
200000,1.5139967,0.5537069,0.24383967,0.1338347,0.10143053,9.951173e-05,0.14703186,0.1971697,239.04545454545453,0.05767833170565692,0.05767833170565692,0.5133252087980509,1.0
210000,1.2619486,3.1452546,0.23917665,0.655614,0.09634668,9.948807e-05,0.10599403,0.14994842,124.85074626865672,10.995924930519132,10.995924930519132,0.2849513667621719,1.0
220000,1.3743327,2.6085222,0.20734096,0.4560253,0.10059341,9.946039e-05,0.12507634,0.1699153,102.52173913043478,6.515540370474691,6.515540370474691,0.16619770396905748,1.0
230000,1.3474889,2.0382612,0.19417053,0.15675664,0.08746161,9.943816e-05,0.13024198,0.24133392,130.49333333333334,3.5448805286070786,3.5448805286070786,0.18738914761893652,1.0
240000,1.3180492,2.8192465,0.16809052,0.2735863,0.10007517,9.9413446e-05,0.11948214,0.18385546,118.15053763440861,5.2537299418586425,5.2537299418586425,0.13558102471903824,1.0
250000,1.3191767,1.8556857,0.15601514,0.26618797,0.0964401,9.938715e-05,0.11946126,0.18289569,179.11363636363637,2.2171338802459193,2.2171338802459193,0.2572185337251308,1.0
260000,1.2248737,1.5419233,0.17112213,0.24990238,0.09662632,9.9361976e-05,0.12553479,0.1690267,195.89743589743588,3.1759365766476364,3.1759365766476364,0.30522722999254864,1.0
270000,1.2886765,1.2668064,0.18671155,0.19395612,0.09284257,9.9336874e-05,0.10465737,0.112000905,181.8913043478261,4.298388282889905,4.298388282889905,0.2546427284124429,1.0
280000,1.2328625,2.6016147,0.16117847,0.4587686,0.094819024,9.931213e-05,0.099258155,0.11982027,137.93548387096774,5.3509649951927,5.3509649951927,0.16040868620525617,1.0
290000,1.1460819,2.991624,0.1399595,0.53233534,0.096916154,9.928681e-05,0.10057185,0.13098426,129.1098901098901,7.023173153072923,7.023173153072923,0.14690848866958622,1.0
300000,1.1700933,3.0470245,0.1355259,0.5226568,0.10336893,9.926206e-05,0.11153185,0.12774622,157.07692307692307,9.729860119099888,9.729860119099888,0.20199113852291736,1.0
310000,1.0962431,2.4545941,0.14185593,0.34366602,0.094951876,9.923682e-05,0.10410026,0.10381977,183.58139534883722,3.4806200958961666,3.4806200958961666,0.18217901144783163,1.0
320000,1.0312221,2.7280474,0.1531588,0.23267196,0.0953382,9.9213205e-05,0.098840415,0.120502144,147.09722222222223,4.441100377432058,4.441100377432058,0.19677192917172337,1.0
330000,1.0021782,3.3275268,0.141694,0.27898216,0.09692014,9.9187404e-05,0.073148474,0.05954635,149.1891891891892,5.869850711690055,5.869850711690055,0.17168820158339157,1.0
