Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.187297,0.0,-0.01194966,0.064992845,-1.312609507307934,306.4,-1.3126096497988329,0.6020630434155464,0.025956156,0.09979551,0.00029992245,0.20735666,1.3336799
20000,2.0355077,0.0,-0.058415376,0.26884392,-0.08588406951275829,446.9166666666667,-0.08588414068617567,2.22483831376303,0.028604915,0.09834896,0.0002997814,0.4713443,1.0121214
30000,1.6934122,0.0,-0.03484796,0.542368,-0.2287796674176398,392.5263157894737,-0.22877975952609345,2.125649001682177,0.025078814,0.0948955,0.00029962376,0.47557727,0.8125738
40000,1.5277127,0.0,-0.03630313,0.5317001,-0.694657527205734,385.51724137931035,-0.6946575998455077,1.6088903281950102,0.04234152,0.09554521,0.0002994679,0.3730472,0.57861185
50000,1.4828361,0.0,-0.12291648,0.43643984,0.0611868132265954,419.76666666666665,0.06118676834545719,1.8413882039429155,0.025251744,0.10159306,0.00029932742,0.31394196,0.6092043
60000,1.397126,0.0,-0.062666655,0.39234012,0.1282461879924605,185.11428571428573,0.1282461538151048,0.5911260532023984,0.11168804,0.103051946,0.00029918706,0.27625275,0.5207039
70000,1.3446935,0.0,0.029360667,0.36965045,-0.582331344327334,267.52777777777777,-0.5823313779270999,0.9056993138187358,0.061791427,0.096543536,0.00029903106,0.29961103,0.44763693
80000,1.4697036,0.0,-0.024635464,0.35191873,-0.5366903101021308,216.11111111111111,-0.5366904023620818,0.5879360285018467,0.021615414,0.10403528,0.0002988738,0.2895124,0.4970897
90000,1.3869903,0.0,-0.07678933,0.3455746,-0.4048835608956996,491.5217391304348,-0.404883632127641,1.739167344979132,0.022240056,0.101733565,0.00029871933,0.30515707,0.4005344
100000,1.3362001,0.0,-0.094894715,0.35095942,0.09516857290202552,342.1875,0.09516851672378834,0.9946222324761038,0.04404659,0.097982675,0.00029856205,0.25518793,0.4283696
110000,1.5099196,0.0,0.033274014,0.32356197,-0.54560616711827,185.95833333333334,-0.5456062251323601,0.4087729230038046,0.05841848,0.102425605,0.0002984217,0.25161892,0.42459697
120000,1.4547564,0.0,0.043501392,0.3026485,-0.13101363998794113,558.1111111111111,-0.13101369659448714,1.6123802174525164,0.04930811,0.10108532,0.00029828184,0.25594375,0.3505521
130000,1.4415678,0.0,0.07567418,0.3012303,0.4787676360444849,466.5652173913044,0.4787675489607626,1.3237177050247302,0.023072697,0.1054862,0.00029812666,0.25117224,0.4349347
140000,1.4291949,0.0,0.008605982,0.2949942,-1.0460880912603323,230.21052631578948,-1.0460881753870606,0.47104839453669756,0.008658699,0.09674472,0.00029797226,0.2459079,0.346803
150000,1.3115011,0.0,-0.010002656,0.2804229,0.24004614748306408,352.96153846153845,0.24004608642112893,1.0600000996491872,0.05006855,0.10500462,0.0002978173,0.26201326,0.3480368
160000,1.3494022,0.0,-0.10082231,0.26620778,-0.1417173336006575,334.5833333333333,-0.1171950233235423,0.9215632572038365,0.056267552,0.10335702,0.00029767677,0.23113412,0.3286988
170000,1.4581258,0.0,-0.042901155,0.26027837,0.17926705251833214,271.2962962962963,0.13715031001005887,0.7064011490604442,0.02892954,0.09840817,0.00029753445,0.22267015,0.31655237
180000,1.4304335,0.0,0.04748892,0.24858683,0.14903101166263305,801.2857142857143,0.14903092950061408,2.3575321472959505,0.018445598,0.09780779,0.00029737837,0.22645774,0.3455985
190000,1.4054947,0.0,0.057839725,0.28611484,0.045323780866095585,279.8695652173913,0.045323729515075684,0.6991162837847419,0.037974488,0.0968488,0.00029722354,0.22428644,0.3339828
200000,1.4631442,0.0,-0.09992756,0.25518897,-0.964609159407928,374.4375,-0.9646092378861795,0.8781003814074211,0.0062459046,0.10071143,0.00029706815,0.21470614,0.33895797
210000,1.4483663,0.0,-0.056605045,0.25979406,-0.6542274394556443,298.56666666666666,-0.65422749898086,0.8269796315502996,0.024165126,0.09882178,0.00029692566,0.24480905,0.30006385
220000,1.4562591,0.0,-0.11129067,0.2543303,-0.19083463975985068,271.05,-0.19083469514298484,0.6230403809255222,0.025995612,0.09694459,0.00029678355,0.2151285,0.3140383
230000,1.4324596,0.0,0.10145855,0.24622403,-0.5588386163290124,223.85714285714286,-0.5588386740169621,0.5845009413647598,0.03085636,0.09931014,0.00029662804,0.23798609,0.36149862
240000,1.4827541,0.0,0.043005086,0.25190294,-0.07742993498260538,172.82857142857142,-0.07742999660632839,0.46353037625584487,0.04654222,0.09601205,0.00029647254,0.22848873,0.40036288
250000,1.6067656,0.0,-0.015154621,0.25310552,-0.8661742193449061,229.04761904761904,-0.8661742904336106,0.4630689183499531,0.016693827,0.10148325,0.00029631838,0.2183783,0.3670827
260000,1.604807,0.0,0.08375354,0.26822478,-0.4350873356375987,283.1904761904762,-0.43508740408079966,0.7947510923480704,0.015642043,0.096772544,0.0002961632,0.21923861,0.38976794
270000,1.5459367,0.0,-0.013001956,0.27600318,-0.05893750505957643,808.8888888888889,-0.05893758270475599,2.1321932256525744,0.0134577295,0.104611404,0.00029602204,0.2274127,0.32095104
280000,1.5635018,0.0,-0.043205287,0.26349828,-0.4846865078114509,247.91666666666666,-0.48468657724743025,0.6467551018189018,0.010239224,0.10185901,0.0002958823,0.2256496,0.3413067
290000,1.3841494,0.0,-0.06535621,0.2824677,-0.21305880216987133,1068.8,-0.21305887380513014,2.8910319425107445,0.015682498,0.112483785,0.0002957268,0.23880553,0.2736862
300000,1.3641793,0.0,0.034606542,0.30164844,0.9166981554002026,758.875,0.916698084228301,1.9653237771708518,0.028679986,0.09982812,0.00029557216,0.23660156,0.26811725
310000,1.3962805,0.0,0.035193246,0.27893397,0.45852751237097517,208.95454545454547,0.4585274208233882,0.490382051947315,0.021595195,0.10735679,0.0002954179,0.21460505,0.2699281
320000,1.384256,0.0,-0.026429929,0.27070245,-0.3685801686704228,489.3076923076923,-0.3685802248286424,1.3004730121286299,0.019713059,0.09911621,0.0002952775,0.21999319,0.26261652
330000,1.3862705,0.0,0.033878736,0.2645705,0.4857324537045618,205.75,0.4857323810501839,0.4459999992298738,0.046467938,0.096462384,0.00029513703,0.21274623,0.2775096
340000,1.4187673,0.0,-0.039708465,0.2404031,-0.56864652565144,379.27272727272725,-0.5549984100431348,0.8335612476581619,0.023122627,0.10180409,0.0002949825,0.18253815,0.24807575
