Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.191888,0.0,-0.8615332678426058,234.94285714285715,0.004245934,-0.049064904,-0.8615334212779999,0.13661939363394465,0.0034602827,0.098594785,0.00029983307,0.09285478,1.3926251
20000,2.0898428,0.0,-0.05276185730472207,154.61428571428573,-0.101782724,0.039426744,-0.060603907142860305,0.29319151741978916,0.020640729,0.09941862,0.00029953566,0.18989512,0.99371225
30000,1.8422508,0.0,0.5453584242552603,76.88721804511279,0.23757076,0.2514986,0.5449328358048824,0.3380044266067223,0.024506394,0.10341166,0.00029925024,0.36373726,0.9492008
40000,1.4807606,2.0,0.8579251215626674,29.10126582278481,0.6245765,0.40564746,0.8577396937779018,0.1033175097113209,0.013101322,0.09670744,0.000298943,0.32593974,0.56232226
50000,1.1013252,8.0,0.9297543063203161,16.75133214920071,0.86709577,0.44736812,0.9297282485089547,0.03425773860949553,0.0009893678,0.10236867,0.00029863653,0.19463444,0.241424
60000,1.0225004,10.0,0.815278444026469,30.654901960784315,0.8578904,0.48414573,0.8300275571468309,0.06540429154704289,0.0035200855,0.10404724,0.00029835926,0.20474017,0.2845648
70000,0.9546299,11.0,0.6424142366843572,53.51470588235294,0.54343367,0.40678266,0.6186111092135527,0.10025170471762186,0.014132517,0.10117954,0.00029806752,0.117585525,0.345683
80000,0.8707309,11.0,-0.8380154387776328,230.8372093023256,0.11541381,0.26176187,-0.8380155826723853,0.278544838605232,0.0031219572,0.096103825,0.00029776216,0.10613234,0.09949173
90000,0.89491284,11.0,-0.8385735784202467,231.04651162790697,-0.11034349,0.17684011,-0.8347302348840804,0.29550292557992397,0.00433864,0.09931182,0.00029746786,0.11934431,0.07535564
100000,1.095193,11.0,-0.9227265992667526,243.78,-0.245984,0.14606169,-0.9227534168958664,0.3872641395404935,0.0025196183,0.101107374,0.0002971589,0.13998474,0.1861506
110000,0.92518455,11.0,-0.7607332667568698,238.3,-0.24233487,0.14757054,-0.7665366639451283,0.32666247815075444,0.005999715,0.098741844,0.00029685738,0.13394468,0.20449123
120000,0.8459518,11.0,-0.3478026636210935,192.3673469387755,-0.19121021,0.12845553,-0.35655560841163,0.21247681205083305,0.010510931,0.098101504,0.00029657013,0.107691094,0.16136232
130000,0.7904755,11.0,-0.19261629751637438,188.0754716981132,-0.14025787,0.108265705,-0.18770993142216294,0.18311070975054194,0.015089514,0.09951691,0.00029625348,0.08816227,0.1560825
140000,0.86891377,11.0,-0.07418622649685644,156.89705882352942,-0.053917043,0.09512259,-0.07418631543131436,0.1355136929093586,0.0137887765,0.1000777,0.0002959411,0.08283371,0.14275981
150000,0.897753,11.0,0.07908606572046635,148.25806451612902,0.034970306,0.0887569,0.06767755942266496,0.13840908910048608,0.015596293,0.097591445,0.000295625,0.09579439,0.158936
160000,0.8963183,11.0,0.33826108669289895,128.06024096385542,0.18388234,0.08811912,0.338582307100296,0.13032677872891885,0.017266456,0.098707765,0.0002953472,0.09661312,0.18558852
170000,0.92103785,11.0,0.533603033058743,101.33707865168539,0.3431501,0.08260238,0.533483142933149,0.0979279000207447,0.012917392,0.101939954,0.00029507055,0.09426189,0.17376928
180000,1.0435752,11.0,0.5575757913503119,95.88181818181818,0.3834226,0.07909851,0.5593903929263622,0.09361929538752045,0.013365626,0.099952355,0.00029475905,0.09669261,0.20162669
190000,1.1141189,11.0,0.5224025465750118,94.66981132075472,0.37549654,0.08108839,0.5224025215742722,0.10327858220399269,0.013988124,0.101824984,0.00029444293,0.105336525,0.18709014
