Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,2.1907039,0.0,-0.007292373,-0.02924976,0.0024900713,0.096057236,0.0002998683,0.12386584,1.4466823,-0.9999999310821295,248.0,-1.0000000894069672,0.21859403518147957
20000,2.1108563,0.0,-0.21470621,0.075135395,0.0008863605,0.103336796,0.00029960126,0.14675453,1.1295794,-0.9999999310821295,248.0,-1.0000000894069672,0.46175449285091774
30000,1.9417421,0.0,-0.2991535,0.18313207,0.0010095283,0.10172933,0.00029928586,0.31112474,1.1611061,-0.9999999310821295,248.0,-1.0000000894069672,0.9017172050662339
40000,1.4970165,0.0,-0.33925587,0.4101467,0.004023021,0.10258828,0.0002989632,0.49040893,0.7918336,-0.9759387067538134,247.08163265306123,-0.9749149819637867,1.487540733306966
50000,1.3110156,0.0,-0.34145272,0.5103055,0.00585971,0.099956624,0.0002986192,0.30084997,0.5047245,-0.7872092363987725,229.7906976744186,-0.7966667433579763,0.8646983191370964
60000,1.2758893,0.0,-0.30603698,0.40154606,0.0061518587,0.097290635,0.00029834275,0.20618673,0.35583162,-0.7135645601119162,227.59183673469389,-0.7075972954432169,0.5411769927789768
70000,1.2287476,0.0,-0.31762558,0.3052213,0.0060583586,0.09810841,0.00029803664,0.1899422,0.28418288,-0.6412832696456462,221.1,-0.6500325922558947,0.4413939074999312
80000,1.1736685,0.0,-0.24849279,0.24816611,0.010661647,0.09280034,0.00029775142,0.17933115,0.2947513,-0.5038622609370024,205.8913043478261,-0.5038623887559642,0.3825924221588218
90000,1.2233126,0.0,-0.1868149,0.2097816,0.009935938,0.09704225,0.00029746845,0.16682376,0.27794853,-0.3229712121477672,178.4655172413793,-0.32297131778865024,0.32698386040484084
100000,1.2301589,0.0,-0.035727274,0.19936405,0.017167214,0.10118439,0.00029715677,0.17805846,0.2558232,0.02579052272984492,149.4,0.0406569570734881,0.2770838588476181
110000,1.2475654,0.0,0.12232922,0.17727032,0.019465614,0.09714133,0.0002968426,0.16025937,0.25271794,0.2400510193697889,118.14117647058823,0.2272156596183777,0.19353665128788528
120000,1.2640874,0.0,0.2575959,0.15761846,0.023877133,0.10356724,0.0002965314,0.15093257,0.29128805,0.5990695715814882,72.1726618705036,0.5946091068305558,0.11661512188097502
130000,1.2255932,0.0,0.51770985,0.14567661,0.021593453,0.09650849,0.00029625342,0.1502049,0.34850788,0.7463647726136947,40.959016393442624,0.7462204087753685,0.0632396482729486
140000,1.0643413,6.0,0.814778,0.15089706,0.006202872,0.10150846,0.00029597752,0.09703055,0.2671321,0.9301307536011674,16.625441696113075,0.9301292066025523,0.015609215645828341
150000,1.0407482,10.0,0.8701363,0.17860085,0.0031437664,0.094641656,0.00029567064,0.0848375,0.240496,0.9319901807201232,16.176943699731904,0.931987523873222,0.014058737697161953
160000,1.2163854,10.0,0.28960973,0.18781161,0.0035235623,0.10491726,0.00029535714,0.11749414,0.60590506,-0.7122640886897538,223.41509433962264,-0.6950000709295273,0.3187723549455404
170000,1.2231555,10.0,-0.014931201,0.161881,0.0053577903,0.096176475,0.0002950598,0.10704155,0.5076903,-0.6385289216515325,217.65217391304347,-0.6535903432716926,0.26399074264918454
180000,1.2056562,10.0,-0.06854482,0.15812252,0.014300141,0.09888238,0.00029473737,0.12170639,0.48966494,-0.16870702108523497,161.95454545454547,-0.18111446900154227,0.2125236792281381
190000,1.1485764,10.0,0.17905955,0.16165219,0.017897308,0.09673686,0.00029444796,0.1139922,0.25999558,0.3709725387701669,94.3298969072165,0.3709724920312154,0.12606624785100215
200000,1.1777585,10.0,0.36497515,0.1542657,0.021471431,0.10463121,0.0002941705,0.1128907,0.3372627,0.4577539235692924,87.76635514018692,0.47148111968670253,0.09965685479132072
210000,1.1614331,10.0,0.31496873,0.1406739,0.02029495,0.09050806,0.00029385826,0.09653487,0.36157334,0.5244518785427014,73.39259259259259,0.5132622495293617,0.07750362331759841
220000,1.1258683,10.0,0.44398442,0.12551753,0.021986002,0.10272942,0.00029354566,0.09083896,0.24896297,0.6059592836407117,61.44444444444444,0.6059592564900717,0.05933076800752638
230000,1.0980886,11.0,0.36092603,0.13005623,0.014787178,0.09247692,0.00029322956,0.12732555,0.30222982,0.4320492747038687,98.11363636363636,0.43204922195185314,0.1371206878710919
240000,1.0414984,11.0,0.061622225,0.1463253,0.011908246,0.09929548,0.00029294466,0.118465506,0.28220195,-0.026684157444131478,167.47368421052633,-0.028881005410637175,0.20750517432731744
250000,1.0677544,11.0,0.017004192,0.13879533,0.014333281,0.097471386,0.00029265677,0.11695571,0.1844347,-0.0536283642534533,167.75409836065575,-0.06057928136137665,0.2043405579876338
260000,1.0561613,11.0,0.05163629,0.13420808,0.014386676,0.1030568,0.00029234262,0.111257374,0.16502038,0.04500569316747961,148.4915254237288,0.07075136950460531,0.16385909249627237
270000,1.0266606,11.0,0.008885832,0.12147184,0.016003698,0.091026366,0.00029203048,0.10045874,0.14824447,-0.04683577544542391,152.17910447761193,-0.0629801296476108,0.16267925820925008
280000,1.0091746,11.0,0.06379638,0.10643232,0.01860931,0.095495924,0.00029175007,0.09505786,0.122483246,0.17695950245409198,133.54054054054055,0.1757066508134206,0.1356432308194538
290000,1.0215937,11.0,0.1695757,0.08769271,0.017747242,0.097093955,0.00029146732,0.07839434,0.1309568,0.2693485201399943,113.375,0.2693484743887728,0.09405776373618706
300000,0.8989747,11.0,0.16583773,0.0837656,0.015096339,0.0982367,0.00029115524,0.07497446,0.11536534,0.10508229332226147,134.83116883116884,0.09507454069037187,0.10484636146085043
310000,0.9187012,11.0,0.19181183,0.07420809,0.019470537,0.101273194,0.00029084017,0.065633774,0.140182,0.3394132284277778,98.96875,0.3588333281998833,0.06674387747383055
