Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
10000,2.1537757,61.65972222222222,-0.08929629,0.1718541,-1.2760707857087255,-1.2760707857087255,0.0705868410748533,0.9180523,0.10086772,9.9937504e-05,0.17463359,1.2848804,1.0
20000,1.9893135,24.18622448979592,1.0646118,0.32464108,3.856823629354272,3.856823629354272,0.0631532428090644,0.86045915,0.10154762,9.984091e-05,0.22627589,0.52417976,1.0
30000,1.7446232,15.42504118616145,1.7652708,0.38251084,3.579653230000171,3.579653230000171,0.04758786370815123,0.91952056,0.09986264,9.974758e-05,0.24057646,0.38938236,1.0
40000,1.585067,18.130518234165066,2.7113802,0.38419265,3.663522440021478,3.663522440021478,0.05389119715348465,0.31329185,0.09939371,9.964556e-05,0.23732129,0.3545636,1.0
50000,1.607445,21.84251968503937,0.8833135,0.41197258,1.4298696793308578,1.4298696793308578,0.07688772999537513,0.123173475,0.09908251,9.955218e-05,0.23242629,0.42128816,1.0
60000,1.5508125,24.26378896882494,1.629874,0.40023163,2.3790781981796383,2.3790781981796383,0.05421236646082476,0.23067567,0.09664084,9.945205e-05,0.17684071,0.30117172,1.0
70000,1.468675,17.996007984031937,2.2452052,0.36201462,2.8094611189917416,2.8094611189917416,0.039345677436409356,0.35161188,0.10204345,9.934782e-05,0.1671796,0.2937971,1.0
80000,1.6196573,17.96319018404908,2.197943,0.32115588,2.6802900393621076,2.6802900393621076,0.027003774959365467,0.06334901,0.097785294,9.924965e-05,0.13692263,0.1927942,1.0
90000,1.5573398,18.11173184357542,1.9572455,0.30241907,2.5564044594709108,2.5564044594709108,0.03019787291448855,0.19233194,0.09787835,9.915285e-05,0.12888232,0.2264321,1.0
100000,1.5602727,12.761834319526628,3.596232,0.2912816,3.9232862172221856,3.9232862172221856,0.017058992261779624,0.22247906,0.09695172,9.90525e-05,0.09937905,0.1749449,1.0
110000,1.626601,15.322878228782288,2.427276,0.30287746,2.8066500911558117,2.8066500911558117,0.019631885646204293,0.2742537,0.10018699,9.894847e-05,0.09535596,0.18695423,1.0
120000,1.6860831,28.302872062663184,2.2727115,0.2564698,2.7707792608222612,2.7707792608222612,0.03577523146001719,0.20889086,0.09626033,9.8842575e-05,0.10091977,0.15669957,1.0
130000,1.4159445,10.8150765606596,3.5015087,0.25430676,3.8800495613730557,3.8800495613730557,0.010135944471151532,0.24885532,0.09790663,9.875406e-05,0.07482453,0.10405679,1.0
140000,1.4750416,19.396103896103895,3.4076362,0.25109485,3.8954716977095654,3.8954716977095654,0.01770485677226566,0.14210229,0.09795703,9.865579e-05,0.08047359,0.085569166,1.0
150000,1.5183284,22.315420560747665,2.5897267,0.24634239,2.858489244134276,2.858489244134276,0.021075380211674318,0.19948041,0.09510523,9.854541e-05,0.07725266,0.11174414,1.0
160000,1.2919911,9.72032902467685,2.6351714,0.22231224,3.3116995057379697,3.3116995057379697,0.009090319090575295,0.5503063,0.0955203,9.8451244e-05,0.07420839,0.081723265,1.0
170000,1.5527105,37.89147286821706,1.672658,0.23781295,2.151983963715476,2.151983963715476,0.03924222477953592,0.21469131,0.09491444,9.835265e-05,0.08653764,0.13054219,1.0
180000,1.4974405,22.53488372093023,2.4037056,0.25209337,3.142532216054257,3.142532216054257,0.019914154944425694,0.26434654,0.09828903,9.824138e-05,0.06727527,0.10832322,1.0
190000,1.4532487,17.29847908745247,2.914696,0.27601755,2.877871229877056,2.877871229877056,0.02344895891917682,0.35569477,0.0958051,9.8148535e-05,0.075717,0.11237653,1.0
200000,1.6381698,44.69897959183673,0.69764245,0.117781155,-1.6513673419577217,-1.6513673419577217,0.07685180069160114,2.1786537,0.10023637,9.805509e-05,0.15535435,0.4216116,1.0
210000,1.6964836,63.38732394366197,0.51252484,0.066746145,-0.519053117391911,-0.519053117391911,0.06945598443824771,0.9560965,0.099486545,9.7951575e-05,0.111263976,0.2741689,1.0
220000,1.5766637,58.80625,-0.28929546,0.092483304,-2.5681123370304704,-2.5681123370304704,0.089026147761615,1.1336691,0.10584636,9.784588e-05,0.12298133,0.36438152,1.0
230000,1.622159,63.083333333333336,-1.5478344,0.1222499,-4.958948982465598,-4.958948982465598,0.12506848263243833,2.833964,0.10073478,9.774928e-05,0.16055036,0.44567698,1.0
240000,1.5666342,63.311258278145694,0.46638688,0.094993725,0.6005217419160123,0.6005217419160123,0.0571697736343998,0.8103711,0.10694872,9.765501e-05,0.08694313,0.20484576,1.0
250000,1.7281424,62.051094890510946,0.31491306,0.065701455,0.92605352855247,0.92605352855247,0.0731233281177887,0.733525,0.09634628,9.754752e-05,0.091982886,0.24364075,1.0
260000,1.7571157,102.16129032258064,0.17077237,0.056397256,-0.7333769953699523,-0.7333769953699523,0.10604467678074074,0.5678599,0.09498451,9.745023e-05,0.097658984,0.21862489,1.0
270000,1.6654246,58.758620689655174,1.6698701,0.0121787675,2.9067908482304934,2.9067908482304934,0.06175127554171044,0.56383866,0.09838255,9.735201e-05,0.084050894,0.14514121,1.0
280000,1.6789813,104.0421052631579,0.5310996,0.07322529,-0.623099389386938,-0.623099389386938,0.09639724222150572,0.49730238,0.10142461,9.7252545e-05,0.07122011,0.13516894,1.0
290000,1.5483544,71.27777777777777,-0.5418449,0.19650379,0.21210543564924106,0.21210543564924106,0.13060834461925772,0.45736724,0.10030007,9.715685e-05,0.1391503,0.24094093,1.0
300000,1.4814402,65.37323943661971,0.3964876,0.21199986,1.1552473459894776,1.1552473459894776,0.08472554487711255,0.5924603,0.10713186,9.705359e-05,0.10549722,0.14729528,1.0
310000,1.3615981,59.23529411764706,1.4881988,0.19568567,2.8265750758788166,2.8265750758788166,0.03710022144433525,0.34761196,0.09629512,9.6950826e-05,0.056967366,0.09449967,1.0
320000,1.3955543,70.26190476190476,0.05282739,0.20896335,-2.2137639967222063,-2.2137639967222063,0.12784225044638983,1.162784,0.09996959,9.6848395e-05,0.13315932,0.22127445,1.0
330000,1.3843746,81.93693693693693,-0.12677161,0.20424868,0.17194159986736537,0.17194159986736537,0.09743563007764719,1.0419333,0.095422484,9.6751595e-05,0.112297855,0.19668633,1.0
340000,1.3635511,41.44588744588744,1.4915117,0.18917236,2.6082162415826478,2.6082162415826478,0.03702064921365833,0.5961345,0.099595524,9.665394e-05,0.08083909,0.11914027,1.0
350000,1.420817,65.0,0.9310656,0.1649587,0.7871510122997173,0.7871510122997173,0.07529591062558356,0.63286144,0.103033975,9.654915e-05,0.09936954,0.16646516,1.0
360000,1.3942473,75.82170542635659,1.7740097,0.121210404,2.10397851558832,2.10397851558832,0.07505983357819226,0.40529147,0.09997551,9.644983e-05,0.07943987,0.10438594,1.0
370000,1.3142291,64.3046875,1.3394239,0.1077942,2.2848907875460247,2.2848907875460247,0.048575848483574366,0.54209954,0.09312059,9.634859e-05,0.07511228,0.092693575,1.0
380000,1.2286055,52.54385964912281,1.7995344,0.06785113,2.034449602575863,2.034449602575863,0.04810554622946417,0.37053582,0.09893693,9.624542e-05,0.06358739,0.07749386,1.0
390000,1.2156174,52.994082840236686,1.8157746,0.08559443,2.643132561409967,2.643132561409967,0.03943522930001983,0.44106132,0.0989317,9.61423e-05,0.07392416,0.10024047,1.0
400000,1.2082803,33.16428571428571,2.922496,0.07232549,3.724438885280064,3.724438885280064,0.0296134473872371,0.22141202,0.092240185,9.605067e-05,0.06798343,0.09442859,1.0
410000,1.1970148,48.39473684210526,2.6538577,0.08569384,3.1927523311815764,3.1927523311815764,0.03522928455648454,0.29656425,0.10056777,9.595801e-05,0.07070269,0.103128575,1.0
420000,1.2387923,65.93243243243244,1.6505834,0.09044585,1.6550364680338225,1.6550364680338225,0.055449550308837185,0.45553693,0.09753008,9.58541e-05,0.0666822,0.0786811,1.0
430000,1.4443301,47.90229885057471,1.0703086,0.1122771,1.4169353429292668,1.4169353429292668,0.0511554584897667,0.7082757,0.09233709,9.5749085e-05,0.095171824,0.14112136,1.0
440000,1.3945504,65.43065693430657,1.640346,0.13215873,2.3601854961283886,2.3601854961283886,0.03769135699661816,0.18707135,0.09586488,9.565208e-05,0.06181417,0.06886192,1.0
450000,1.393598,52.9811320754717,1.7449119,0.15398638,2.5814156222947036,2.5814156222947036,0.04841625728184664,0.2782184,0.09914902,9.555656e-05,0.076045,0.08531956,1.0
460000,1.2792314,44.779411764705884,1.5891443,0.18474278,1.3659356091807529,1.3659356091807529,0.06200917132834836,0.5502528,0.09888388,9.5450676e-05,0.11805798,0.18684939,1.0
470000,1.1621737,63.60740740740741,1.9943275,0.15118372,2.8980702975281964,2.8980702975281964,0.02982079266070354,0.20479289,0.09429349,9.534545e-05,0.040106136,0.039682765,1.0
480000,1.210212,44.39810426540284,2.195962,0.12985547,3.044032565013492,3.044032565013492,0.03580842148380187,0.19900824,0.099305436,9.524203e-05,0.06739455,0.073464975,1.0
490000,1.2123626,39.08370044052864,2.1781063,0.12399807,2.98720817084898,2.98720817084898,0.04286417814141156,0.4345538,0.10037787,9.514979e-05,0.104140535,0.116900116,1.0
500000,1.2226691,39.13725490196079,2.4395707,0.11563993,2.7022114287563195,2.7022114287563195,0.036579219661066385,0.21830192,0.09919824,9.505643e-05,0.07287212,0.08241558,1.0
510000,1.1788933,31.788732394366196,2.8839948,0.110807605,3.5378129218754015,3.5378129218754015,0.01831471985287703,0.18576129,0.09696524,9.495414e-05,0.04765653,0.06817566,1.0
520000,1.1450129,59.81954887218045,1.6997628,0.11064706,1.6418956976411934,1.6418956976411934,0.04151049701941613,0.3061755,0.098380044,9.485189e-05,0.05781548,0.08091022,1.0
530000,1.3614085,67.1056338028169,0.16080566,0.1356528,-0.5729466667267639,-0.5729466667267639,0.08808258693652149,0.3407032,0.09885073,9.474909e-05,0.08157931,0.108923815,1.0
540000,1.3890554,58.608108108108105,1.2499204,0.15127388,1.9186100589262474,1.9186100589262474,0.04562125240163122,0.46724254,0.09928713,9.465517e-05,0.06855197,0.081517644,1.0
550000,1.3889823,51.357142857142854,2.2100806,0.120068215,3.0158480528942837,3.0158480528942837,0.044179937651682044,0.21483107,0.09841462,9.455739e-05,0.06452654,0.09464861,1.0
560000,1.3070612,33.05673758865248,2.9021268,0.14268373,3.472000223525027,3.472000223525027,0.022838623177075218,0.113177046,0.09474576,9.44546e-05,0.051838577,0.06762733,1.0
570000,1.2227511,43.43564356435643,2.4693973,0.14100717,3.0041363164782524,3.0041363164782524,0.02669913243009054,0.2512701,0.10528003,9.435186e-05,0.06419243,0.074881904,1.0
580000,1.1253445,40.77832512315271,2.0558317,0.14255048,2.353959645984208,2.353959645984208,0.02929383629400815,0.38909116,0.09576,9.424721e-05,0.06479876,0.09588952,1.0
590000,1.18391,59.092592592592595,1.8155754,0.12606561,3.027907686928908,3.027907686928908,0.031454957246975855,0.21015427,0.10545897,9.4150106e-05,0.047219537,0.056838825,1.0
600000,1.2945429,63.50335570469799,2.2042804,0.11208077,2.4425421315151574,2.4425421315151574,0.031646080993290915,0.1875562,0.09327002,9.405655e-05,0.04298843,0.04553702,1.0
610000,1.2562957,62.74825174825175,1.6955762,0.095887385,2.177920421244393,2.177920421244393,0.042356055279091843,0.12567577,0.09409516,9.395229e-05,0.057039876,0.067171335,1.0
620000,1.247378,41.534188034188034,2.2125177,0.10320618,3.0843290346734067,3.0843290346734067,0.02605489019522483,0.18404038,0.10264628,9.3849165e-05,0.0558014,0.064720646,1.0
630000,1.2155145,48.91919191919192,2.3539362,0.10466149,2.93059788682134,2.93059788682134,0.03591013187778934,0.21822673,0.09793279,9.375221e-05,0.05216326,0.058462314,1.0
640000,1.187564,45.84803921568628,2.6494083,0.11464834,3.6681504107103113,3.6681504107103113,0.032319990502352396,0.46795663,0.09696688,9.3655e-05,0.0693751,0.075327374,1.0
650000,1.2320051,52.967213114754095,2.4038203,0.11558229,2.829706211559108,2.829706211559108,0.021025849759446387,0.2054945,0.09706801,9.355065e-05,0.03396886,0.0461557,1.0
660000,1.2649701,47.85427135678392,2.4314578,0.09877784,2.835917850984401,2.835917850984401,0.03602676734038109,0.23881106,0.094509766,9.3448194e-05,0.0510631,0.06089597,1.0
670000,1.3043977,57.86986301369863,1.8585942,0.104496315,2.3799550457768244,2.3799550457768244,0.05252194330925505,0.43546557,0.10006613,9.334758e-05,0.09236121,0.11026335,1.0
680000,1.2524859,41.9375,2.669829,0.10261584,3.2618234378740927,3.2618234378740927,0.0301349164068181,0.21635461,0.09772165,9.325517e-05,0.061507005,0.06991418,1.0
690000,1.3349545,39.14049586776859,2.71261,0.09630325,3.2633308324303645,3.2633308324303645,0.02464274364742048,0.13907006,0.09880392,9.315013e-05,0.051842343,0.072782114,1.0
